employee_id,Self: Inspire with Purpose,Self: Drive for Results,Self: Own the Outcome,Self: Speak Up and Listen,Self: Lead with Empathy,Self: Grow Others,Self: Bridge Across Boundaries,Self: Act with Integrity,Self: Make it Simple,Self: Lead Change Fearlessly,Self: Learn and Adapt Fast,Self: Champion Diversity,Manager: Inspire with Purpose,Manager: Drive for Results,Manager: Own the Outcome,Manager: Speak Up and Listen,Manager: Lead with Empathy,Manager: Grow Others,Manager: Bridge Across Boundaries,Manager: Act with Integrity,Manager: Make it Simple,Manager: Lead Change Fearlessly,Manager: Learn and Adapt Fast,Manager: Champion Diversity,Peers: Inspire with Purpose,Peers: Drive for Results,Peers: Own the Outcome,Peers: Speak Up and Listen,Peers: Lead with Empathy,Peers: Grow Others,Peers: Bridge Across Boundaries,Peers: Act with Integrity,Peers: Make it Simple,Peers: Lead Change Fearlessly,Peers: Learn and Adapt Fast,Peers: Champion Diversity,Reports: Inspire with Purpose,Reports: Drive for Results,Reports: Own the Outcome,Reports: Speak Up and Listen,Reports: Lead with Empathy,Reports: Grow Others,Reports: Bridge Across Boundaries,Reports: Act with Integrity,Reports: Make it Simple,Reports: Lead Change Fearlessly,Reports: Learn and Adapt Fast,Reports: Champion Diversity
emp137512,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,3,4.52930884,4.59216649,4.476394525,4.097822803,4.112269476,3.48004292,3.658288566,4.59216649,3.759318215,4.062306666,4.59216649,4.087932093,4.237887483,4.02672495,4.229699446,3.753298881,3.936863461,4.319693512,4.222738119,4.609307258,3.425648359,3.336915914,4.429252111,4.180760764
emp149769,4,3,4,4,4,5,4,4,3,5,4,4,5,5,5,4,4,5,4,5,4,4,5,5,4.020106611,3.886556666,4.2736639,4.191858952,4.765016853,4.447762714,4.688760681,4.264198447,4.678642609,3.788326901,3.729178741,4.654453382,4.289883195,4.819383996,3.842605961,4.063524283,4.819383996,4.819383996,3.944875418,4.389573926,3.825100309,4.528820066,4.210715134,4.819383996
emp146636,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4.169996121,3.875413364,4.595616639,4.227367289,3.647237726,4.189039519,4.622461642,4.243966869,4.284997403,4.391639816,4.002350723,4.730877614,3.992372052,4.149887101,3.483236214,4.133540932,4.22305197,3.822927254,3.271146397,4.189533184,3.664275235,3.990740109,4.394591346,3.66013115
emp146074,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,4,3,4,5,4,3.911058437,3.446857887,4.071368797,3.542008487,3.390396965,3.735932788,4.319235525,4.652658315,3.847362924,4.245595434,3.879982266,3.829715182,3.407363246,4.059153701,4.745077679,3.31025007,4.199025383,4.745077679,3.262989916,4.258103128,3.752421471,4.270989119,4.618074548,3.757199107
emp147308,4,4,5,4,5,4,4,5,5,4,5,5,4,4,4,4,4,4,2,5,4,4,5,4,4.759339504,4.243666097,4.501951676,3.870353871,4.331103547,4.056876928,4.000754913,4.59093459,4.378792966,4.29835938,4.076967276,4.575277936,4.147395705,4.201090923,4.82028979,4.173118682,3.839492935,3.8841603,4.164007711,4.102614416,4.549918268,3.738437271,3.735730782,3.466371999
emp147445,4,4,4,4,4,3,3,4,4,5,5,4,3,4,5,3,4,4,3,4,4,4,4,4,2.688345321,3.975686706,4.312626521,3.389831704,4.220618378,3.179704363,3.372224768,4.611258062,3.87375779,4.460972414,4.543773678,3.847934313,4.653212915,4.653212915,4.561424808,3.950744705,4.161202866,4.190726319,4.011118453,4.324328356,3.580552051,4.653212915,4.273066992,3.284393912
emp142416,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3.516052595,4.252806452,4.532100402,4.518769771,4.74931163,4.267027042,3.781199146,4.555912913,3.978308294,4.424348642,3.996704894,4.27254065,3.567294017,4.697976352,4.728062527,3.734897781,4.717383423,3.91353718,3.389441726,4.073392458,3.516303317,4.734720199,4.734720199,3.351492063
emp142986,4,4,3,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4.318794898,4.617151919,4.377124301,4.17137173,4.159888147,3.43162753,3.681550706,4.518128329,4.617151919,4.013686237,4.617151919,3.835383925,3.820456495,4.378146034,4.471400521,4.163604049,4.798246696,4.798246696,4.383151171,4.286943659,3.994145924,4.357994394,4.04644989,4.798246696
emp137241,3,4,5,5,4,5,4,4,5,4,5,4,4,5,4,4,4,4,4,5,4,5,5,4,3.831211522,4.178806395,4.786537694,4.126545772,4.008197961,4.30621482,3.995955403,3.991847688,3.994671199,4.300634816,3.850191374,4.516138152,4.170141007,3.882008806,4.592090206,3.718735049,4.92190403,4.381340217,3.991459462,4.330559969,4.366774849,4.55549227,4.568713476,4.569490506
emp142408,4,4,4,4,5,3,3,5,4,4,4,4,3,4,4,3,5,4,4,5,3,4,5,4,4.220308728,4.215562143,4.115010098,3.85120375,3.919620449,3.240573784,3.687881083,4.621375969,4.589802651,4.509358189,4.066380438,4.524384252,3.98801674,4.55236401,4.277917417,4.016585905,4.766529945,4.010132095,3.565034287,4.151179239,2.988749561,4.766529945,4.140771976,4.078905236
emp145966,3,4,4,4,4,4,3,5,4,5,5,4,4,4,4,4,4,5,3,4,4,4,4,4,4.042764196,4.136690682,4.442176989,4.71210422,4.308650828,4.306544682,3.625755592,4.205286293,4.60358863,4.139586228,4.684315684,4.222233378,3.813453659,4.767102111,4.232164106,4.265724266,4.283941146,4.225416775,3.753532379,4.29992939,4.018399781,4.516402585,4.490889309,4.310771026
emp136302,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,3,4,4,3,4,4,4,4,4,3.487213415,3.595026655,4.306009014,2.982952325,3.720570045,4.28558349,3.347051582,3.817865962,4.044232169,3.73358522,3.36451976,4.285059461,4.131378491,4.592586918,4.433032298,4.319802963,4.211916839,3.305797289,3.610186983,4.592586918,3.88897094,4.409261365,3.954204332,4.406864736
emp151229,4,4,4,4,4,4,3,4,4,5,4,4,5,4,5,4,5,5,3,4,4,5,4,4,4.620370696,4.24584443,3.71651374,3.858377177,3.770824437,3.911745859,3.306047807,4.233083863,3.351304818,3.771890122,4.620370696,3.713557025,3.857801854,3.828046035,3.777936211,4.032229188,3.11329148,3.422590918,3.498615277,4.344922324,4.078399694,4.521800554,4.589227035,3.582066376
emp140857,4,5,4,4,4,4,3,4,5,5,5,5,4,4,4,5,4,4,3,4,4,5,4,4,3.863721291,3.807818032,4.285535545,4.147658596,4.528404398,3.903515793,4.06341998,4.499848602,3.904082565,4.448195238,4.073024977,3.651271836,3.268252636,4.232580042,3.774577274,3.894784848,3.668776356,3.774885618,3.635007879,4.118744185,3.840004331,4.646781556,4.62750659,4.406965644
emp141176,4,5,4,3,4,4,3,4,4,5,5,4,4,4,5,4,4,4,4,5,4,4,4,4,3.811246068,4.671034705,3.687843271,4.273661519,4.464172617,4.638313038,3.256800303,4.521665392,3.384621443,4.435900972,4.514763193,4.537882505,3.724481724,4.027418714,3.486927842,3.926026631,4.266117247,4.145760766,3.664402683,4.103569738,4.219889827,4.445763079,4.031424537,4.096799581
emp144645,4,4,3,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,4,4,4,4,3,2.810198686,4.355896951,4.446791796,3.674388851,4.06318229,2.934374842,3.903707164,3.85759993,4.015589584,4.15860673,4.446791796,4.446791796,3.915520632,3.671994012,4.246321474,3.82219091,3.871584218,3.930415343,3.874100752,3.79849655,3.934258431,4.084181026,4.118730316,4.480332862
emp148715,4,5,4,4,5,4,4,5,4,5,5,5,4,5,5,4,5,4,3,4,4,4,4,4,4.854439021,4.2426146,4.854439021,4.730678317,4.854439021,3.971639687,4.170950283,4.250859862,4.110080294,4.466326414,4.391558505,4.148769712,3.893733786,4.462507979,3.896047108,4.493109449,4.569469398,4.790584248,3.722008016,4.346064728,4.693226049,4.152479345,4.438653508,4.790584248
emp146175,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4.286680466,4.484793063,4.677190951,4.609916534,4.018176673,3.861097558,3.242654633,4.677190951,4.394538721,4.097475859,4.474958451,4.244789285,4.026724883,4.285458042,4.483001442,3.78076775,3.620790898,3.88484505,3.656525549,4.2315952,3.654913642,4.665535013,3.735980734,3.543312867
emp141894,4,4,4,4,5,4,3,5,4,4,5,4,4,5,4,4,5,4,4,4,3,4,5,5,4.397944288,4.033281838,4.373166509,3.501100502,4.264246045,3.469483096,3.183006277,4.055066004,3.155047401,4.00689856,4.045782353,3.979889776,4.685703973,3.20983478,3.875188231,3.816662032,4.224552199,4.450846367,3.745153419,4.204078212,3.669610627,4.190012371,4.336774453,4.118819238
emp146562,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4.088974546,4.703922317,4.188095357,3.966063265,4.155202743,3.428574562,4.164644896,4.153170735,4.466928163,4.43394593,4.703922317,4.703922317,3.957443447,4.54001631,3.815226024,4.016261583,3.701778762,4.276883085,3.876843699,3.643114759,3.568875533,4.61180963,3.749696171,4.442394794
emp149446,5,5,4,4,5,4,4,5,3,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,3.689394795,4.231788723,4.545791538,4.459268561,4.064658973,3.648245415,2.924720421,4.268089015,4.657627024,4.666585874,4.505759262,4.666585874,3.073567449,4.550983401,3.482636312,3.598595607,3.686222633,4.015135439,3.093897821,4.10673396,4.500786222,4.550983401,4.550983401,4.189159053
emp146645,5,5,4,3,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4,4,4.582083153,4.204263515,4.053115814,4.450389028,3.711946543,4.533338745,3.732640363,4.186202559,3.905136724,4.038317899,4.110214917,3.464213722,3.490210865,3.568337212,4.088124499,4.140499063,3.638541481,4.168315381,3.761262222,3.844617259,3.731838832,4.579793291,3.775363936,3.812906285
emp145533,5,4,4,4,4,4,3,4,4,4,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4.634625325,3.627588538,4.634625325,3.725404171,3.71730622,4.445204946,4.483186973,3.90381258,3.967026655,4.590080817,4.445607247,3.859827356,3.578002956,4.165063572,4.137756206,3.545997374,4.173260694,4.119069595,4.013772436,4.621794909,4.621794909,4.208168221,4.329827961,4.379040396
emp146639,4,5,5,4,5,5,4,4,4,5,5,4,3,4,4,3,4,4,3,4,4,4,4,4,4.053459512,3.825803227,3.25675944,3.253370239,3.760304908,3.971187153,3.144632189,3.145017932,3.691133847,3.433086975,3.510995983,3.646236093,4.029250267,3.798039626,3.824083351,4.186276374,4.372828198,3.764068067,3.606259534,3.899899005,3.4040424,4.355854145,3.744118042,4.372828198
emp149119,4,4,4,4,4,4,4,4,3,5,4,4,3,5,5,4,4,4,4,5,4,4,4,4,4.008058676,4.546731325,4.751717067,4.276677718,4.174201261,3.944647849,4.158542467,3.891768489,3.93243798,4.301340248,3.933207805,4.286560495,4.795909317,4.795909317,4.176613065,4.188576031,3.816220432,3.771362379,3.794454601,4.795909317,4.731854599,4.701198215,4.059662907,4.182162766
emp140209,4,4,4,4,4,4,3,5,4,5,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3.60000126,4.143557554,3.518102622,3.803056821,4.790636767,3.808318404,3.948778397,4.501913436,4.362891485,3.93832482,4.626375877,4.431606054,4.136650013,4.365518929,4.185036535,4.664343244,4.627453222,3.3387465,3.269946951,4.725271716,3.859060493,4.179418609,3.690544193,3.839814872
emp148535,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,4,3,4,4,4,4,4,3.612319777,4.345043675,4.600468144,4.024174054,3.356949701,4.144752072,3.921918311,4.600468144,4.389707406,4.453975947,4.600468144,4.209063774,3.67735146,3.949277667,4.394182642,3.963478282,4.326154419,4.295087945,3.748608577,4.275973283,3.706410816,3.602726863,4.209582553,3.977358883
emp151156,3,4,5,4,4,5,4,4,4,5,4,3,4,3,5,4,4,4,4,4,4,4,4,4,3.371455912,4.430174564,4.28970992,3.548714994,3.94036616,3.921877433,3.968074388,4.138066079,4.372342525,4.602639171,3.903815511,4.210295073,4.334396261,4.40836678,4.28976721,4.598209962,3.890696177,3.652658666,2.900667926,4.329197927,3.66803148,4.598209962,4.1890393,3.745350613
emp150838,4,4,5,4,4,3,3,4,4,4,5,4,4,5,4,4,4,5,4,4,4,4,5,4,4.670651001,4.398779515,4.670651001,3.645979878,4.059581071,4.054772655,4.123340916,4.170445588,4.245324266,4.522754552,4.542721888,3.644824535,3.971748745,4.575121252,4.669090229,3.912638037,3.839442765,3.652757768,3.359252544,4.599485162,4.22266464,4.669090229,3.780071168,3.350964493
emp143266,4,5,5,4,4,5,3,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3.872089831,4.609639746,3.971387194,3.946057896,4.74350357,4.58784411,3.419413712,4.082798289,4.24594035,4.748968824,4.593086072,4.009018997,4.234041989,4.898935792,4.387227301,3.426325885,4.38709413,4.426863981,3.308984829,4.446023452,4.409526822,4.601311951,4.898935792,4.473134707
emp144491,4,5,4,4,4,4,4,5,3,4,5,4,4,5,4,4,4,4,3,3,3,3,4,5,3.661545608,3.74838909,3.524329616,3.425282793,4.315409063,4.118219887,3.85061582,4.346201018,3.967648255,4.540079941,3.791699106,3.328386383,3.643909438,4.375106066,4.068184455,4.483702406,3.182411429,3.961624578,2.827936361,3.723937007,4.311288185,4.421164677,4.332197213,3.410331131
emp137848,4,5,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,3,4,5,4,4,4,4.389941414,4.66069396,4.162803195,4.697987443,4.135804347,4.522181977,4.075918876,4.614567898,3.697022247,4.442547511,4.697987443,4.128647723,3.668872929,4.419351058,3.607678387,3.80703882,3.843104198,4.585823618,3.652601423,4.483852543,3.290214785,4.321536389,4.287433268,4.152685335
emp150841,4,5,5,4,5,3,4,5,4,4,4,4,4,5,4,3,4,4,3,5,4,4,5,4,3.995074158,3.9763599,4.334415655,3.348551765,3.704733467,3.318813459,3.682188375,4.019352388,3.636599649,4.085021757,3.977363499,3.476420754,3.285170297,4.127492645,3.784151712,4.439165014,4.415996072,4.291014959,4.303170207,4.745995044,3.34557477,4.497870054,4.745995044,4.745995044
emp149859,5,4,4,5,5,4,3,4,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,3.109565213,4.626279656,4.202385453,4.354508456,3.899547831,3.916198527,3.691658314,4.593667741,4.447389672,4.017702126,3.789392504,4.095271992,4.133934825,4.376776753,3.786972002,4.09608974,4.191418307,4.617293118,4.271039302,4.144112472,4.265731278,4.502242335,4.719770534,3.998026426
emp150764,4,4,4,4,3,3,3,5,4,4,5,4,4,4,4,4,3,4,4,4,3,4,4,4,3.927643976,4.19736778,4.063995322,4.299330308,4.349421964,3.213043686,4.234292477,3.651684916,3.562042341,4.553943037,4.294391854,4.040123926,3.937680588,4.673930237,4.673930237,4.300354613,4.297063383,4.116756234,4.111977398,4.673930237,3.568113363,4.301029268,3.768571691,4.184597078
emp140021,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,5,3,4,4,4,4,4,5,4.492480928,4.324648071,4.281939535,3.823305245,3.689966349,4.085497412,3.583167196,4.536457265,3.876545351,4.019371486,4.339085957,4.488686461,3.247114985,4.498877244,4.232196807,3.789843131,4.498877244,3.707267318,3.402678033,4.255598306,4.317379795,4.167024881,4.473372607,4.498216561
emp147431,3,4,4,3,4,4,4,5,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,3.198403941,4.254321695,3.946308157,3.62289197,3.386513222,4.567466342,3.823708994,3.840975495,3.73391056,4.02769144,3.887176711,4.244194802,4.441295228,4.616735963,3.893483637,4.529444798,4.238649889,4.119776178,3.380109693,3.979474624,3.600037925,4.178928002,4.552324643,4.538953762
emp134526,3,5,5,5,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3.502623669,4.052311061,4.397989604,3.851445206,4.49614059,3.805967346,3.803574654,3.636957977,4.342170113,4.559473535,4.16326515,4.763144334,4.212135417,4.433638465,4.376864031,4.291963844,4.15805487,3.715660729,4.370680977,4.247738486,3.029412369,4.213410616,4.526696918,4.209709776
emp149971,4,4,5,4,5,4,4,3,5,4,4,4,4,4,4,3,5,4,3,4,4,4,4,4,4.662952579,4.583725384,4.016956331,4.115215954,4.717120445,3.375164364,3.788871727,4.699354597,4.20217261,4.318653184,4.164273944,3.803037958,3.78095143,4.2151023,3.922224684,2.892620747,2.877138316,3.887546612,4.249396739,3.43695088,3.992980403,4.079878367,4.128504958,3.550882372
emp147143,5,4,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3.431777511,4.684843652,4.332159624,3.519603972,4.068846925,4.23499973,3.345210027,3.722655843,3.791392159,4.515490112,4.469124327,4.165638564,4.168142416,3.727207551,4.202591746,4.425044934,3.729797664,3.343857378,3.452508289,4.450957845,4.44434693,4.681179239,3.783349085,3.821039252
emp139713,5,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3.918158152,4.321011863,4.533317386,3.780723091,4.455405223,3.912416827,4.495669624,3.817331168,3.777164638,4.246015436,4.468294544,4.142267056,3.357357068,4.274186355,3.701619215,4.60259194,4.169714266,4.222385852,3.202008479,4.122663139,3.828457014,3.649321019,3.963439704,3.590047919
emp145292,4,4,5,3,5,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.078706498,4.386494568,3.959254676,3.273705115,3.852236622,4.077937647,2.820897448,3.685253043,4.386494568,4.386494568,3.202585756,3.711229721,3.719248903,3.810568619,4.135289443,4.013903314,3.749503167,3.71154118,3.06317745,4.357091833,3.597274647,4.537794886,4.107664577,3.969861213
emp143367,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,5,5,3,4,4,4,5,3,3.776936244,3.914187977,4.521649114,4.640494778,4.511807529,3.542704026,4.024002065,4.395105966,4.375966957,4.943252661,4.943252661,4.364460187,4.632146796,4.285246193,4.849497567,3.75269977,4.802833531,3.740705475,3.997182625,4.904640197,4.065971667,4.680452026,4.736776125,4.904640197
emp148671,4,5,4,4,5,4,3,5,4,4,5,5,4,4,4,4,4,4,4,5,3,5,5,3,4.029637536,3.928895691,4.617319804,3.974489961,4.308294756,4.125166513,4.163023965,4.113122047,3.718128278,4.748846919,4.811767763,4.811767763,3.960123076,4.647640017,4.225715132,4.106668075,4.381833983,4.06659268,3.958730007,4.320401711,3.967080363,4.260806198,4.218769388,4.342412576
emp146207,5,4,4,4,4,5,4,5,4,5,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3.771453753,4.735036212,4.188358723,4.735036212,4.735036212,4.266795701,3.952504446,4.715102705,4.103384712,4.409875221,4.426658985,3.635898443,3.887321689,4.255880494,4.069212982,4.125182121,4.258804461,3.792032645,4.528234258,4.186642906,4.065541772,3.46566461,4.666162685,4.320432006
emp148455,4,4,4,4,4,4,3,5,4,4,4,5,4,3,3,4,4,3,4,4,4,4,4,4,4.377069365,4.063555927,4.118070009,4.085103625,4.465543355,4.434543005,3.405375576,4.270385984,3.50870016,4.314706342,3.866568128,4.616420333,4.353004954,3.430890105,4.409353481,4.198066405,4.158676166,3.877336429,3.267305944,2.720297774,3.665131545,4.353355883,3.941442466,4.103942588
emp135714,4,4,4,4,4,4,4,5,4,5,4,5,4,4,4,3,4,4,3,4,4,5,4,4,4.042872126,4.237857736,4.224523191,4.344895666,4.219377027,4.721675086,4.232768704,3.79857055,4.295237383,4.511910439,4.509995127,3.802137561,3.936910016,4.387574924,4.404680696,4.242808624,3.550837841,3.793583783,4.311456316,4.630848914,3.872516751,4.07968398,4.578529044,4.680449011
emp141240,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,5,3.336440031,4.4603539,4.257160938,4.070397049,4.04462362,3.336945433,3.204389865,4.139159733,3.505353788,3.824358967,4.023246184,3.506218399,4.629579595,3.752080903,4.629579595,4.56334735,3.812244839,3.184861887,3.540077135,4.026968789,4.020842163,3.947935973,3.603721877,3.6836975
emp150348,4,4,5,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,3.788925629,4.628861081,4.192293047,4.745190625,3.97130613,3.933768229,4.122981295,4.718858492,3.933523278,3.63138246,4.482264046,4.745190625,3.709769267,4.021763268,3.925784261,3.936020129,3.784742427,3.978468493,3.728941157,3.976324903,3.843610408,3.990931294,3.904485847,3.773858297
emp151374,4,5,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3.955623559,4.399839487,3.923758883,4.199279263,4.229893088,4.107694053,4.090574402,4.683128378,3.747614072,3.654088621,4.275104031,4.283498152,3.626968239,4.354400482,4.490382002,3.704566678,4.453627226,4.195999134,3.34507948,4.775254514,4.180416709,4.233791766,3.6993598,4.395060675
emp139607,4,4,5,4,4,4,3,4,4,5,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4.258888834,4.170713426,4.345974949,3.925978752,3.50329125,3.727078736,4.612232314,3.365374987,3.568679208,4.612232314,3.871818895,4.167617406,4.442944707,4.654648764,3.983809346,3.848566645,3.582372009,3.742793569,3.836531919,3.490470994,4.076183249,4.129290792,4.654648764,4.127450405
emp142866,4,5,4,4,4,4,4,5,3,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4.476394507,4.762399717,4.157210844,4.333937612,4.499248347,4.106152385,4.866255648,4.866255648,4.127011023,4.123671175,4.866255648,3.806603604,3.909757501,4.719500558,3.917695707,4.027194991,4.068782619,4.270048187,3.771851948,4.208428895,3.816006499,4.45607364,4.262234121,4.785757178
emp149590,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,5,5,4,4.74464702,4.542381273,4.516374098,4.237420605,3.999992281,3.844288685,4.256982739,3.760269868,3.99141382,4.221417456,3.944844797,4.894703379,4.018976998,3.973327587,4.33547133,4.35197854,3.637555449,4.547616262,3.978139804,4.328272154,4.556522614,4.401725206,3.158659289,4.172745497
emp140843,4,4,5,4,4,4,4,4,4,5,4,4,4,5,4,3,4,5,4,4,4,4,4,5,3.551487003,4.642335425,3.888011618,3.850297891,4.487217233,3.907782568,3.549661669,4.489094747,4.255712955,4.558079234,3.71702323,3.95904491,4.37348648,4.310486785,4.363221158,4.333394254,3.492518419,3.970487324,3.932604992,4.065705034,3.831165613,3.512534067,3.888121531,4.546861776
