employee_id,job_level,department,start_month,status,stage,applicant_id,job_id,gender,assessment_center
emp10204,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,BUxEEsTFVs,AH0oJEsUoW,Female,4
emp10209,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,zDsS7ICEtC,gLz56BL2Gk,Male,4.4
emp10210,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,vMcDNtIo37,GBs0zssd4S,Female,3.9
emp10211,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,YmBqBgRpUI,wvlS0WC2Ux,Female,3.8
emp10214,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,6IiemOKck9,1hW1lztsbh,Male,4.1
emp10215,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,56UqxbQpe2,nvWBWVmrKH,Male,4.3
emp10216,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,0fqP3jBubf,TkAJzyY412,Male,3.9
emp10218,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,BabDYorByK,mKhPLWQ22y,Male,4.2
emp10220,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,SZJEmIUn0B,4ofkWPaaOs,Female,4.3
emp10222,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,LGxvSYnbO0,s9zTvrABCk,Male,4.3
emp10227,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,zvgCs2cnKd,cIRZHFEb72,Male,3.8
emp10235,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,W0B0pZp1Tp,a6lOlxKTAe,Male,3.8
emp10243,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,BL0DrMRYPl,eRxQkJpzAq,Male,4.6
emp10246,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,WSCJAZ1Cva,WcDuVrWHom,Female,3.8
emp10253,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,oRHO3HGVZV,gpKqOr9VQY,Female,4.1
emp10260,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,4oCFBobYIO,rZin20T4qR,Male,4.1
emp10263,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,Ur4o1legZD,GEK9PkkYkU,Male,4
emp10268,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,xindK371DL,C2bgg9igxD,Male,3.9
emp10270,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,xWMRo7POel,XhuizY3Rfa,Female,4.3
emp10275,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,l77cyYhPsr,XWCJcl6bUH,Male,4.2
emp10288,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,IuHb1WvW4p,xyUqTsrdyS,Male,4.3
emp10290,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,YWQ4zEzQU7,JBZc3Or6XP,Male,4.1
emp10292,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,c0zrRmjnDQ,NQhqdOSUpX,Female,4.2
emp10293,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,P0X6LASX3H,UPtkvd24ay,Male,3.8
emp10297,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,SQ4U1eSdrb,zgJBxbfRyh,Male,3.8
emp10300,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,f7ptRY1d9O,YLhjRWhwwO,Female,4.1
emp10304,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,8IpSGl01On,AoFoKB0iNH,Male,3.9
emp10315,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,BtwkJDjodh,9yMs2Bnr6r,Male,3.8
emp10318,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,HSc7uD6Zk8,dNeUzK2ZhC,Female,3.8
emp10320,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,KVOsqeYHnX,ZDdQMM8pvJ,Male,3.9
emp10324,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,ceUQ1NAFuJ,ONso0yn9GH,Female,4.2
emp10325,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,338IkzxtKe,a4ffD8KyRp,Female,4
emp10326,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,P8cZUCMXPg,K6UMSqtUms,Female,3.8
emp10328,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,NfjiD5inui,fka8hBwDi7,Male,4.2
emp10333,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,QiYV0FhcIO,wuTxve0eTW,Male,4
emp10344,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,Wj8MTR3PPG,lrTy8Ae5r6,Female,4.2
emp10348,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,eH69cwVtaE,54M08KInP8,Male,4
emp10351,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,TbVoUBEgA6,yUckg02iIG,Female,4.1
emp10353,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,cZZv7AgU3I,9zAPBHAESj,Male,4.1
emp10354,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,KDUM0p1EFo,JbUzmadJKo,Male,4
emp10355,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,MqcAxZnXVU,Ms1hDaSdiv,Female,3.7
emp10362,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,9cr4Aykzt9,DV1mgoxUNM,Male,3.9
emp10365,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,2zNfTQkOho,vbacs8YRVJ,Male,4.3
emp10376,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,tzPQL3SO8y,oLEpxqTitG,Male,4.1
emp10377,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,U3BGXsrhhG,d0oin6DjTa,Male,4.1
emp10378,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,eQnzbKX4TR,ygj8GAfwLP,Other,4.3
emp10381,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,zSAnkL3d7L,wimQNB0byV,Male,3.9
emp10383,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,XfHls0l3yO,qDgei8g6Of,Male,4
emp10385,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,j8ZkgAHjSv,i4u8l0JM1J,Male,3.9
emp10386,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,uAypEdd1qh,s4LLrSVezu,Male,3.9
emp10391,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,MZTlz0Rggg,OKRxbloOde,Female,4.4
emp10392,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,R4kYXSVWDw,V3wQ2h99Gk,Male,3.9
emp10394,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,fvd7MwDque,UT1D8knHZU,Female,4.2
emp10398,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,Uvey40POO0,6kRCdxLQEQ,Female,4
emp10409,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,FRLrj32Z51,0XBbvDLiqH,Female,4.4
emp10411,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,al7Zlh0IKC,2mAyKSTMBE,Male,4
emp10414,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,ZQYxdRU5Ud,ugEyVaDEsN,Female,4
emp10415,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,Ww5UOKkyDM,Y5STIFDdvk,Female,4.1
emp10417,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,LycEXv8VCU,USqOCtOw69,Female,4
emp10418,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,riKTblsh4R,s5Ury9ahSU,Female,4.1
emp10420,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,z1u92p9RDT,ILtorImlUH,Female,3.8
emp10425,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,QonL5XujMu,YdVnfdotWB,Male,4.1
emp10426,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,DvNlHzfpHm,u4ozY30cBA,Male,3.8
emp10431,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,Vfs22d6jYo,GWbrPhv3hz,Female,4
emp10435,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,sxlQiA1GCM,HpJ6ZhaauX,Female,4.3
emp10437,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,GyLo27VTgS,RhXFbb54cc,Male,4.3
emp10442,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,8zxD778FAb,vV6TOVZTJ3,Female,4.1
emp10444,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,l3K1Q2XQHc,Q1pOvsvugc,Male,4.3
emp10445,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,iPmDW7Mipb,rAGO6Pv4Nx,Female,4
emp10449,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,BejgKfiuub,5h40KL8uKC,Male,3.9
emp10464,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,7teegoG0IO,RQvJ9Luux6,Male,4.3
emp10470,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,ToInjs8BfJ,Ok0kUd0dZv,Male,4.1
emp10471,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,ytcQjyEnI5,5CPvteSQLz,Male,3.8
emp10475,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,lEluicvUM9,LK80CwOueD,Male,3.8
emp10484,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,56NquIX8lW,ZYk3sNHjnU,Female,4.1
emp10485,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,Kib9hjcKQa,94StAesQnN,Male,4
emp10489,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,Q5PJgL2KcO,SW05OrDJNC,Male,4.2
emp10492,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,7h7jyTVzHG,Xys1qiplTj,Female,4.2
emp10494,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,sjB3C2seV1,tITeK0Cczx,Male,4.2
emp10496,Entry Level/ Manual,Sales,2000-03-01,hired,Stage 4: Assessment Center,CdX4Dkc8Qy,OgWHpzJot8,Male,4.2
emp10498,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,hzs9GrixZB,Suqa81mEJy,Male,4.1
emp10500,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,3XXnrFANfL,TkzV3h4Yqo,Female,3.9
emp10502,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,6cJgr26LZJ,tBcJlWuBbi,Male,3.9
emp10504,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,RVSFt28dsM,nNG5d3jj9s,Male,3.9
emp10508,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,a5R0RmDCKc,oEAcTJuo3b,Male,3.8
emp10516,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,d1ZNkaGZzv,MhuiZj0IFn,Male,4
emp10529,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,LJfEM7YHCT,1qPHhBTfWO,Female,4.2
emp10533,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,8qhN7rb3He,qZOh4gPb7I,Female,3.9
emp10534,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,LBHzxo2eGL,Sa6FxkOQ1T,Male,3.8
emp10536,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,zODI5GEZnn,pguMfsNf1v,Male,3.8
emp10541,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,LvwGy5pmVe,XEEfjKg5j4,Female,4.4
emp10542,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,SovWfbX3z0,DbrcN2KgpD,Male,3.7
emp10547,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,vz1PaD4uR0,DDcgeuexsD,Male,4.2
emp10548,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,fYW0Xbpju0,7eaz22vGaP,Male,3.9
emp10557,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,1aGGiuihby,VmX7btpUcY,Male,4.1
emp10562,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,XTv0DPMOz6,bkKlwBZWpL,Male,4
emp10568,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,4RGGqBlSGO,9rFkIWkpM7,Female,3.9
emp10569,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,8uj1KBdBkE,fZwe4ZGjOe,Male,4
emp10578,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,n1rRDLwJ6W,tukm6us6Uc,Female,4.4
emp10579,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,Cz1FbClXU6,iRcU5t2aiI,Female,4
emp10581,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,x6Obug2dxD,cIGZxsbqM3,Male,3.9
emp10583,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,kFJYCW7sR6,gXt78aCpLi,Female,4.2
emp10584,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,WrYnAabqXj,p9inCCzJGl,Male,3.8
emp10587,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,a59Pq3YU4g,Ldxa0NOFY8,Female,3.9
emp10597,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,mP5Z9qMDfP,uh0OudDqI6,Male,3.8
emp10599,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,OjNtK1sGVs,5DUc4wiHjj,Male,4.1
emp10600,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,3mUqxVqeIz,kyrL000XkL,Male,4
emp10603,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,UhbsCYEiPY,6Ib9YRNLr4,Female,4
emp10606,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,LXoj0fhcjS,3yaTrmXi0B,Male,4
emp10607,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,blM8w7YzyY,fIGIkr10Oc,Male,4.2
emp10611,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,495hQVh9QZ,jGQzcQ271n,Male,4.1
emp10612,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,knrzEwqKvA,aeGiO2qb7i,Male,4.2
emp10623,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,T1lUDNFPCG,igFbvDjRMH,Male,3.9
emp10625,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,zhbUpg6oKW,rX8zKa9nFo,Female,3.8
emp10626,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,EXacUFcFsd,g21EKfHkjz,Male,3.9
emp10629,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,G4p1brz0w3,iGw25UlCgP,Male,4.2
emp10630,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,8G1LdAwMmr,EPC57ELpEG,Female,4.2
emp10633,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,TydXTzm3nZ,HUfyb37cXK,Male,3.8
emp10638,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,naTnQu4giP,ctl1br11IB,Male,4.3
emp10641,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,BtTPzX1lVC,5jqrPwccxC,Male,3.9
emp10642,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,J0vj3Ya3VE,iM1TNGtsnV,Female,4.2
emp10649,Entry Level/ Manual,Sales,2000-04-01,hired,Stage 4: Assessment Center,mpTD7DGhmo,KikzKyJSDl,Male,4.2
emp10661,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,4hmlxUeuiJ,sr8wvdrGJz,Male,3.8
emp10668,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,XcuEeFyG6F,8HcU8O9lML,Female,4.6
emp10681,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,wmt5FLgDkb,1sZZOQW4mL,Male,4.2
emp10685,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,ZjSEogePVA,sJiT79mwYV,Male,3.9
emp10687,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,RZUvIWSJJ7,J3s1cdoicH,Female,3.9
emp10688,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,iGdKdWKJLe,9BJzUwe8Bi,Male,3.9
emp10692,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,ipGr2KrBZg,QbzWOJzU40,Female,4.3
emp10693,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,q1I7AKpC7n,jO7UJCKs4u,Male,4.1
emp10702,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,Smpw5rujCd,qtzly5W9cH,Male,4.3
emp10705,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,cZeKxvpMq1,qlguc3MSSn,Male,4.1
emp10706,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,sjqilCf1TP,2pgoYxLUw2,Female,4
emp10711,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,Klvd8V7nuu,cpjszZgAGu,Female,4
emp10715,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,IxdpFs02c9,8hr4HlCod5,Male,4.1
emp10726,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,hExD6dPxS1,qV48yTBrXW,Male,4
emp10727,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,Awv0DUSBzo,2qFjSL3G9r,Male,3.9
emp10728,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,lKsDOftXWS,F1fIGAJfVu,Male,4
emp10732,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,Tgy8FA7PsQ,kyrgdtgYzz,Male,4.1
emp10738,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,5U8nxscKj8,jcICvlLjRU,Male,4.2
emp10741,Entry Level/ Manual,Sales,2000-05-01,hired,Stage 4: Assessment Center,JV0rGrXyN6,YCXABdd2wL,Female,4.1
