"","prompt","value"
"18","Production"," As a blue-collar worker, I often feel overwhelmed by the workload and unrealistic targets set by management, impacting my wellbeing.
"
"19","Production"," As a blue-collar worker, I sometimes wish there was more room to experiment and innovate in the way we do things. Micromanagement can stifle creativity and make work feel monotonous. 

"
"20","Production"," As a blue-collar worker, I wish there was more opportunity for collaboration between departments. We all have valuable insights that could benefit the entire company.
"
"21","Production"," As a blue-collar worker, I wish there was more training and support to deal with all the changes happening in our production processes.
   
"
"22","Production"," As a blue-collar worker, I wish there was more training and support to handle the constant changes in technology on the production floor. 

"
"23","Production"," As a blue-collar worker, the workload can be overwhelming, leading to poor wellbeing. We need more realistic targets and support to thrive. 

"
"24","Marketing"," As a marketer, I often feel undervalued and unheard when it comes to new ideas or feedback, which can be demotivating in the long run."
"25","Production"," As a production line worker, I feel like my voice isn't heard when it comes to suggesting improvements or new ideas. More autonomy would greatly benefit our team's efficiency.
"
"26","Production"," As a production site employee, I feel a strong sense of belonging within my team, but the unrealistic workload and targets are taking a toll on our wellbeing. 

"
"27","Production"," As a production site employee, I often feel overwhelmed by the unrealistic targets and workload placed on us. It's taking a toll on our well-being and morale."
"28","Production"," As a production site worker, the lack of collaboration between departments can make it challenging to get things done efficiently. We could benefit from more cross-departmental communication.

"
"29","Research & Development"," As a whole, the R&D team feels recognized and well-compensated for our hard work. However, the looming pressure for change makes it challenging to maintain a sense of accomplishment and wellbeing."
"30","Research & Development"," As an R&D engineer, I appreciate the support my manager gives on a personal level, but I wish there was more room for creative freedom and experimentation in our projects.

"
"31","Customer Service"," As part of the customer service department, I feel recognized for my effort, but I'm starting to lose trust in senior leadership and their long-term strategy."
"32","Research & Development"," As someone in R&D, I feel recognized for my efforts and accomplishments, but the lack of training to adapt to the constant changes in the industry leaves me feeling unprepared and undervalued."
"33","Customer Service"," Change is necessary, but many employees, including myself, feel unprepared and lacking the necessary skills to adapt. More training and support are crucial in this transition period."
"34","Production"," Change is necessary, but we need more training and guidance to adapt effectively. It feels like we're left to figure it out on our own."
"35","Production"," Change is necessary, but we need the right training and support to handle it. I don't feel equipped to adapt to all the new expectations. (Lack of skills and training for expected changes)"
"36","Customer Service"," Despite feeling recognized for my efforts and accomplishments, the lack of autonomy and opportunity to voice new ideas is frustrating. I hope for more openness to innovation and feedback in the future."
"37","Production"," Despite feeling undervalued and unheard at times, the sense of belonging within our team is strong. We support each other through the tough times, which keeps us going."
"38","Customer Service"," Despite the challenges we face, I do feel recognized for my efforts and fairly compensated. However, the growing sense of mistrust in senior leadership and their strategies is starting to impact morale and motivation."
"39","Research & Development"," Despite the challenges we face, I feel a strong sense of belonging and camaraderie within our R&D team. It's this cohesion that keeps us going, even when the workload gets tough."
"40","Production"," Despite the challenges we face, the strong team cohesion at our production site keeps us going. It's a supportive environment where we feel valued and recognized for our hard work."
"41","Marketing"," Despite the challenges we face, there is a strong sense of team cohesion and belonging in our marketing department. We support each other and work well together to overcome obstacles."
"42","Research & Development"," Despite the challenges we face, there's a strong sense of belonging and teamwork in our R&D team. It's just a shame that our ideas and feedback often fall on deaf ears when it comes to higher management decisions."
"43","Production"," Despite the challenges, I am grateful for the support from my team. We have a strong sense of belonging and support each other through the tough times."
"44","Research & Development"," Despite the challenges, I appreciate how my R&D manager genuinely cares about our team's well-being, making the workload a bit more bearable.

"
"45","Research & Development"," Despite the challenges, I do feel valued and recognized for the hard work I put in. It's motivating to know that our efforts are appreciated and acknowledged."
"46","Production"," Despite the challenges, I feel recognized and well-paid for my efforts. However, there's a disconnect between senior leadership and the workforce, leading to a lack of trust in the company's direction."
"47","Marketing"," Despite the challenges, I feel recognized for my efforts and accomplishments, which motivates me to keep pushing through the high workload and siloed structure."
"48","Customer Service"," Despite the challenges, I feel recognized for my efforts and accomplishments. It's motivating to know that my work is valued within the team."
"49","Customer Service"," Despite the challenges, I feel recognized for my efforts and accomplishments. The sense of belonging in our team is strong, and it motivates us to keep pushing forward."
"50","Customer Service"," Despite the challenges, I take pride in my work and feel recognized for my efforts. However, the uncertainty stemming from a lack of clear communication from senior leadership is eroding trust in our company's direction."
"51","Production"," Despite the challenges, our team has a strong bond and sense of belonging. It's what keeps us going through the tough times."
"52","Customer Service"," Despite the challenges, our team has a strong sense of belonging and camaraderie. It's this cohesion that keeps us going even during tough times."
"53","Research & Development"," Despite the challenges, the strong sense of belonging and recognition for our efforts in R&D keeps us motivated to push through the obstacles."
"54","Production"," Despite the challenges, there's a strong sense of belonging and camaraderie within our team. We support each other through thick and thin."
"55","Marketing"," Despite the challenging workload, I admire how my manager truly cares about our team's wellbeing. Their support on a personal level makes a big difference in our work environment."
"56","Marketing"," Despite the heavy workload and pressure, I appreciate how our marketing managers genuinely care about our team's well-being and support us whenever they can.

"
"57","Research & Development"," Despite the heavy workload in R&D, the sense of belonging within our team keeps us going. We support each other through challenges and celebrate successes together, creating a strong bond."
"58","Production"," Despite the heavy workload, I appreciate that my team has each other's backs. It's what keeps us going during tough times. [Themes: High workload and poor wellbeing due to unrealistic targets and workload, Strong team cohesion and a sense of belonging]

"
"59","Customer Service"," Despite the heavy workload, I feel a strong sense of belonging within my team. We support each other through the challenges we face daily.

"
"60","Production"," Despite the heavy workload, I feel like my manager genuinely cares about my well-being and tries to support me whenever possible. It means a lot to have that kind of support. 

"
"61","Production"," Despite the heavy workload, my team really bands together, creating a sense of belonging that keeps us going. 

"
"62","Research & Development"," Despite the heavy workload, our R&D team has a strong sense of belonging and teamwork that helps us get through challenging projects.
   
"
"63","Research & Development"," Despite the heavy workload, our team cohesion is strong, and we all feel a sense of belonging which helps us get through tough times.

"
"64","Research & Development"," Despite the heavy workload, the support and care shown by our managers really make a difference in maintaining team morale and motivation.

"
"65","Customer Service"," Despite the high standards set by management, there is a lack of autonomy and room for creativity, making it challenging to suggest new ideas or improvements."
"66","Customer Service"," Despite the high work load, I appreciate how my manager always tries to support us on a human level, even if it means sacrificing their own time and resources.

"
"67","Customer Service"," Despite the high workload and micromanagement, I do feel recognized for my efforts and adequately compensated, which motivates me to keep pushing through the challenges."
"68","Production"," Despite the high workload and pressure, I feel well recognized for my efforts and adequately compensated. However, discussions around mental health support are still lacking in our workplace."
"69","Research & Development"," Despite the high workload in R&D, our manager goes above and beyond to support us on a personal level. Their caring attitude is a rare gem in our fast-paced environment.
   
"
"70","Research & Development"," Despite the high workload in our R&D team, our manager goes above and beyond to support us personally, which makes a huge difference in our well-being.

"
"71","Customer Service"," Despite the high workload, I feel recognized for my efforts and compensated fairly. It gives me a sense of accomplishment, but more autonomy would make a big difference in morale. - Customer Service Department."
"72","Production"," Despite the micromanagement from some managers, the sense of belonging within my team keeps me motivated to do my best every day."
"73","Research & Development"," Despite the micromanagement, I appreciate how my manager genuinely cares about our team's well-being and supports us personally and professionally.
   
"
"74","Production"," Despite the pressure to deliver at a high standard, there is a sense of camaraderie among my team members that fosters a strong sense of belonging. This support system helps us navigate the challenges together."
"75","Human Resources"," Despite the push for change, the lack of autonomy and receptiveness to new ideas is demotivating. We need more openness to fresh perspectives to drive innovation forward."
"76","Finance"," Despite the siloed structure, our team in finance has a strong sense of belonging. We support each other through the challenges, which helps us get through the tough times. 

"
"77","Research & Development"," Despite the siloed structure, the sense of belonging in our R&D team is strong. We support each other through challenges and share a common goal of driving innovation in our products.

"
"78","Production"," Despite the workload, I have to commend the managers for their personal support and care for the team. It makes a difference."
"79","Customer Service"," Despite the workload, my manager has shown genuine care and support for our team's personal struggles, going above and beyond to help us.

"
"80","Research & Development"," Even though workload in R&D is heavy, our managers show genuine care for our well-being, which makes a huge difference in our work environment.

"
"81","Customer Service"," Feeling a bit overwhelmed with the workload and unrealistic targets, it's hard to find time for self-care and mental health in this environment. 

"
"82","Marketing"," Feeling recognized and well-paid for my efforts gives me a sense of accomplishment, but I wish there was more openness to new ideas and feedback in our team.
   
"
"83","Customer Service"," Feeling recognized for our hard work and effort is great, but it's hard to ignore the lack of training provided to adapt to all the changes happening.
"
"84","Human Resources"," HR should address the lack of training and support for handling all the changes expected from us. We need the right skills to thrive in this dynamic environment.

"
"85","Customer Service"," High workloads and unrealistic targets are taking a toll on our team's wellbeing. It's crucial for management to address this issue to prevent burnout.

"
"86","Research & Development"," I am grateful for the human touch our R&D managers bring to the team. They truly care about our well-being, even if it means sacrificing some of their own time.

"
"87","Customer Service"," I appreciate how my manager always ensures our team delivers top-notch service to customers, but sometimes it feels like we're drowning in tasks without a chance to breathe. - Customer Service Department

"
"88","Customer Service"," I appreciate how my manager always ensures that our team delivers top-notch service to customers promptly, although sometimes it feels a bit stifling to have such close supervision.
  
"
"89","Finance"," I appreciate how my manager always goes the extra mile to support us, even if it means sacrificing their own time. It truly fosters a sense of belonging in our team. 

"
"90","Marketing"," I appreciate how my manager genuinely cares about our team's wellbeing and supports us, even at their own expense. It creates a positive and supportive work environment in the marketing department. - Employee acknowledging the caring and supportive nature of their manager in the marketing department.

"
"91","Human Resources"," I appreciate how my manager genuinely cares about our well-being. They go above and beyond to support us, even if it means sacrificing their own time. It makes a huge difference in the work environment."
"92","Finance"," I appreciate how my manager goes above and beyond to support us personally, showing genuine care for our well-being. It creates a positive and supportive work environment in our finance team."
"93","Research & Development"," I appreciate how our R&D managers genuinely care about our well-being. They always make time to check in on us and offer support, even if it means extra effort on their part.

"
"94","Production"," I appreciate how our managers care about us on a personal level, but I wish they would give us more autonomy to try out new ideas and approaches.

"
"95","Customer Service"," I appreciate how our managers care about us on a personal level, but I wish they would set boundaries for themselves too. It's important for a healthy work environment.

"
"96","Customer Service"," I appreciate my manager's efforts to support us on a personal level, but I wish there was more room for autonomy and innovation in our projects. 

"
"97","Customer Service"," I appreciate that managers care about us on a human level, but they need to set better boundaries for themselves. We can't be expected to prioritize work over our wellbeing.

"
"98","Marketing"," I appreciate that my manager cares about me as a person, but I wish they would trust us more to handle our own projects.
"
"99","Customer Service"," I appreciate that my manager cares about us on a personal level, but it sometimes feels like they sacrifice their own wellbeing to support the team. Boundaries are important too.

"
"100","Production"," I appreciate that my manager cares about us on a personal level, but they need to set boundaries for themselves too. Their constant availability is setting a harmful precedent.

"
"101","Production"," I appreciate that my team has each other's backs and we feel like a family here. It makes the tough days easier to handle. (Theme: Strong team cohesion and sense of belonging)

"
"102","Research & Development"," I appreciate that our efforts are recognized, and we are well-compensated for our work. However, there seems to be a lack of readiness for the changes expected in our department."
"103","Customer Service"," I appreciate that our managers care about us on a personal level and support us, but they need to prioritize their own wellbeing too. We need better role models in setting boundaries at work.

"
"104","Customer Service"," I appreciate that our managers care about us on a personal level, but I wish they would also prioritize their own wellbeing and set boundaries at work.

"
"105","Customer Service"," I appreciate that our managers care about us personally, but their lack of boundaries leads to burnout. We need better support for work-life balance. 

"
"106","Production"," I appreciate that our managers ensure everything is delivered to a high standard and on time, but it often feels like they're breathing down our necks, leaving little room for creativity.

"
"107","Marketing"," I appreciate that our managers genuinely care about us on a personal level and go out of their way to support us, showing a level of compassion that is rare in corporate environments.

"
"108","Marketing"," I appreciate that our managers genuinely care about us on a personal level and offer support whenever needed. It's comforting to know that they prioritize our well-being, even if it means going the extra mile.

"
"109","Marketing"," I appreciate that our managers genuinely care about us on a personal level, but sometimes it feels like they sacrifice too much of their own well-being for the team. 

"
"110","Human Resources"," I appreciate the attention to detail from my manager, but sometimes it feels like they're micromanaging every little task. A bit more trust in our abilities would go a long way.

"
"111","Production"," I appreciate the high standards set by managers, but sometimes it feels like there's little room for creativity or trying new things.
"
"112","Production"," I appreciate the recognition and fair pay for my hard work, but I also wish there was more room for autonomy and innovation in our processes."
"113","Production"," I appreciate the recognition and pay for the work I do, but I wish mental health and well-being were talked about more openly. It's a struggle."
"114","Research & Development"," I appreciate the recognition and pay in R&D, but the lack of focus on mental health is concerning, especially with the fast-paced changes happening."
"115","Customer Service"," I appreciate the recognition and sense of accomplishment I get for my work, but I wish there was more autonomy to experiment with different approaches in customer service.
"
"116","Customer Service"," I appreciate the recognition for my efforts and the sense of accomplishment that comes with it. It's one of the reasons I feel well-paid and valued in this company.

"
"117","Customer Service"," I appreciate the recognition for my efforts and the sense of accomplishment when we meet our goals. It motivates me to keep pushing forward, despite the challenges.

"
"118","Finance"," I appreciate the recognition for my hard work in finance, but I wish there was more support for mental health and discussions around wellbeing in the workplace. 

"
"119","Human Resources"," I appreciate the recognition for my hard work, but I wish there was more autonomy to implement new ideas. It feels like no one is really listening to us on the ground. (Themes: Recognition for effort, low autonomy)

"
"120","Production"," I appreciate the recognition for my hard work, but sometimes it feels like I have no say in how things are done.
"
"121","Production"," I appreciate the recognition for our hard work and effort, but I wish there was more focus on mental health support in the workplace."
"122","Production"," I appreciate the recognition for our hard work, but the disconnect between senior leadership and the rest of us is growing. It's hard to trust the direction we're heading in."
"123","Production"," I appreciate the sense of belonging and teamwork among my colleagues. It's what keeps me going through the long shifts and demanding work environment.
   
"
"124","Customer Service"," I appreciate the strong belief in innovation from our leaders, but sometimes it feels like we lack the collaboration between departments to truly drive change.
  
"
"125","Customer Service"," I appreciate the strong belief in innovation from our leaders, but sometimes it feels like we're not given the autonomy to suggest new ideas for improving customer service.

"
"126","Customer Service"," I appreciate the strong commitment to innovation from our leaders, but sometimes it feels like they don't listen to our feedback on the ground. 

"
"127","Production"," I appreciate the strong emphasis on delivering high-quality work on time, but sometimes it feels like we're drowning in the workload without any room to breathe.
"
"128","Production"," I appreciate the strong emphasis on innovation and change in our company, but sometimes it feels like we're moving too fast without enough training to keep up with the new technologies.
"
"129","Marketing"," I appreciate the strong emphasis on innovation and change in our company, but sometimes it feels like we're not given the autonomy to explore new ideas. 

"
"130","Research & Development"," I appreciate the strong emphasis on innovation and change within the company, but sometimes it feels like our R&D department is left out of the loop when it comes to collaboration with other teams.
   
"
"131","Customer Service"," I appreciate the strong emphasis on innovation and change within the company. It motivates me to push boundaries and think creatively.

"
"132","Customer Service"," I appreciate the strong emphasis on innovation and change within the company. It motivates me to push boundaries and think creatively.

"
"133","Production"," I appreciate the strong emphasis on innovation and change within the company. It's inspiring to see managers leading the way in this aspect. 

"
"134","Production"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we lack the autonomy to explore new ideas within our own departments.

"
"135","Marketing"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we lack the autonomy to truly contribute our ideas effectively.
   
"
"136","Production"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we lack the autonomy to truly contribute our ideas.
"
"137","Production"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we lack the freedom to experiment and think outside the box.
   
"
"138","Production"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we lack the necessary training to keep up with the changes required.

"
"139","Customer Service"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we're all working in silos and missing out on valuable cross-departmental collaboration opportunities.

"
"140","Production"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we're expected to change without the necessary training or support to adapt effectively.

"
"141","Customer Service"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we're moving too fast without considering the impact on our workload and wellbeing.

"
"142","Production"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we're moving too fast without considering the impact on our workload and wellbeing.

"
"143","Customer Service"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we're moving too fast without proper training or support to adapt.

"
"144","Production"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we're not given the freedom to experiment and bring new ideas to the table. 

"
"145","Customer Service"," I appreciate the strong emphasis on innovation from our leaders, but sometimes it feels like we're not given the freedom to explore new ideas.
"
"146","Production"," I appreciate the strong emphasis on innovation from our leaders, but sometimes the rigid structure makes it hard to collaborate effectively between departments. 

"
"147","Production"," I appreciate the strong emphasis on innovation here, but sometimes I feel like my ideas are not heard or valued.
  
"
"148","Production"," I appreciate the strong emphasis on innovation here, but sometimes it feels like we're moving too fast without proper training or support to adapt to the changes. 

"
"149","Production"," I appreciate the strong focus on delivering high-quality products on time, but sometimes it feels like we're not given the space to try new methods that could improve efficiency. - (Themes: Managers push for high standards, low autonomy)

"
"150","Marketing"," I appreciate the strong focus on innovation and change within the company, but sometimes it feels like we are moving too fast without considering the impact on our workload and wellbeing. 

"
"151","Research & Development"," I appreciate the strong push for innovation across the company, but sometimes it feels like our R&D department is left out of the loop, hindering our ability to contribute effectively to new projects.

"
"152","Customer Service"," I appreciate the strong push for innovation from our leaders, but sometimes it feels like we're moving too fast without considering the impact on our workload and wellbeing.

"
"153","Research & Development"," I appreciate the strong push for innovation from our leaders, but sometimes it feels like we're not given the space to experiment and try new things in the R&D department.

"
"154","Customer Service"," I appreciate the strong push for innovation from our leaders, but sometimes it feels overwhelming without the necessary training to adapt quickly.

"
"155","Research & Development"," I appreciate the strong push for innovation in our company, but sometimes it feels like our R&D department is left out of the decision-making process, leading to missed opportunities for collaboration.

"
"156","Customer Service"," I appreciate the strong push for innovation, but sometimes it feels like our department is left out of the loop on important changes.

"
"157","Marketing"," I appreciate the strong sense of team cohesion and belonging within our marketing team. It makes the work more enjoyable.

"
"158","Marketing"," I appreciate the strong team cohesion and sense of belonging within the marketing department. It helps us tackle challenges together effectively. 

"
"159","Production"," I appreciate the strong team cohesion here, it makes me feel supported and part of something bigger than just my role on the production line.

"
"160","Customer Service"," I appreciate the strong team cohesion within our customer service department; it gives me a sense of belonging and support during busy times.

"
"161","Marketing"," I appreciate the support my manager provides on a personal level, but I wish they would set better boundaries for themselves as it sets a challenging example for the team.  
"
"162","Customer Service"," I believe in the need for change and innovation, but without the necessary skills or training, it's hard to keep up with the expectations.

"
"163","Marketing"," I believe our marketing department needs more autonomy and a culture that values listening to new ideas from employees to truly drive innovation and growth."
"164","Customer Service"," I believe that more focus should be placed on mental health awareness and support within our company, as the topic is often overlooked and not openly discussed."
"165","Finance"," I believe that our senior leadership needs to regain our trust by involving employees in decision-making. Without transparency, it's hard to feel a sense of accomplishment in our work."
"166","Research & Development"," I believe there is a need for more open communication channels for employees to provide feedback, as trust in senior leadership seems to be eroding."
"167","Human Resources"," I feel like I'm working in a silo most of the time, with little collaboration between departments. It's frustrating and makes it hard to get things done efficiently.

"
"168","Production"," I feel like a cog in a machine here, with little room for collaboration between departments. We could achieve so much more if we worked together.
  
"
"169","Production"," I feel like a cog in a machine with little room to suggest improvements or collaborate across departments. It's frustrating. [Theme: A very siloed company structure and unwillingness to collaborate between departments]

"
"170","Production"," I feel like a cog in a machine, isolated from other departments, making it hard to collaborate effectively.
   
"
"171","Production"," I feel like a cog in a machine, with little opportunity to collaborate across departments and unleash our full potential as a team.
   
"
"172","Production"," I feel like a cog in a machine, with little opportunity to collaborate across departments. 
   
"
"173","Production"," I feel like a cog in the machine here, with little opportunity to collaborate across departments and make a real impact on our products. 
"
"174","Production"," I feel like a cog in the machine with no room to bring up new ideas or collaborate between departments. It's frustrating. (Theme: A very siloed company structure)

"
"175","Production"," I feel like a cog in the machine, with little opportunity to collaborate across departments and innovate. It's stifling creativity and growth in our production site.

"
"176","Production"," I feel like a cog in the machine, with little opportunity to collaborate across departments. It's frustrating and limits our potential as a team. 
   
"
"177","Production"," I feel like a cog in the wheel at times, with little opportunity to collaborate across departments. It can be isolating. 
"
"178","Production"," I feel like a small cog in a big machine here, with departments rarely working together effectively. We could achieve so much more if we collaborated better. 
   
"
"179","Production"," I feel like a small cog in a big machine here, with little communication between departments hindering our progress.
"
"180","Production"," I feel like a small cog in a big machine here, with little opportunity to collaborate across departments. It can be isolating. 

"
"181","Production"," I feel like a small cog in a big machine here, with little opportunity to collaborate across departments. We could achieve so much more if we broke down these silos. 

"
"182","Marketing"," I feel like a small cog in a big machine here, with little opportunity to collaborate across departments. 
   
"
"183","Research & Development"," I feel like a small cog in a big machine within our R&D department. Collaboration with other teams is nearly impossible, hindering our progress. 

"
"184","Customer Service"," I feel like a small cog in a big machine, with limited collaboration between departments hindering our ability to serve customers efficiently.
   
"
"185","Production"," I feel like a small cog in a big machine, with little opportunity to collaborate across departments for better efficiency.
  
"
"186","Finance"," I feel like a small cog in a big machine, with very little collaboration between departments. It's frustrating and hinders our efficiency. 

"
"187","Customer Service"," I feel like my ideas are not being listened to, and there's very low autonomy in decision-making. It's discouraging to see the lack of openness to new suggestions or feedback from employees across departments.

"
"188","Research & Development"," I feel like our R&D department is a bit isolated from other teams, hindering collaboration and innovation potential.
   
"
"189","Research & Development"," I feel like our R&D department is a bit isolated from the rest of the company, hindering collaboration and innovation opportunities.
   
"
"190","Research & Development"," I feel like our R&D department is a bit isolated from the rest of the company, making collaboration difficult at times.
   
"
"191","Research & Development"," I feel like our R&D department is a bit of a silo, hindering collaboration with other teams. We could achieve so much more if we worked together.

"
"192","Research & Development"," I feel like our R&D department is a bit too siloed from the rest of the company, hindering collaboration and idea-sharing. We could achieve so much more if we worked together seamlessly.

"
"193","Research & Development"," I feel like our R&D department is a bit too siloed, hindering collaboration with other teams and slowing down innovation.

"
"194","Research & Development"," I feel like our R&D department is a silo within a silo. Collaboration with other teams seems impossible, hindering our innovation potential.

"
"195","Research & Development"," I feel like our R&D department is isolated from the rest of the company, hindering collaboration and innovation opportunities.

"
"196","Research & Development"," I feel like our R&D department is working in isolation, missing out on valuable input from other teams that could really boost our innovation potential.

"
"197","Customer Service"," I feel like our customer service department operates in silos, making it challenging to collaborate effectively with other teams for better customer outcomes.

"
"198","Customer Service"," I feel like our customer service team is isolated from the rest of the company, making collaboration difficult. We need more cross-departmental communication to improve efficiency. 

"
"199","Customer Service"," I feel like our customer service team is really cohesive and supportive of each other, which helps us navigate the high workload and unrealistic targets set by management.

"
"200","Finance"," I feel like our finance department is a bit too siloed from the rest of the company, hindering collaboration on cross-departmental projects.

"
"201","Finance"," I feel like our finance department is working in isolation, missing out on valuable insights from other teams that could help us improve our processes and efficiency.

"
"202","Finance"," I feel like our finance department is working in isolation, missing out on valuable insights from other teams. Collaboration is key to our success. 

"
"203","Human Resources"," I feel like our managers are too focused on strict deadlines and micromanaging every detail. It's stifling creativity and making work stressful. (Themes: Managers pushing for high standards, micromanagement)

"
"204","Production"," I feel like our managers really care about us as individuals, always ready to lend a hand or offer support when needed. It makes a tough job a little easier. (Managers care on a human level)

"
"205","Production"," I feel like our managers really care about us as individuals, always ready to lend a helping hand when needed, which creates a strong sense of belonging in our team.

"
"206","Human Resources"," I feel like our managers really care about us as individuals, always ready to lend a helping hand when needed.
   
"
"207","Production"," I feel like our managers really care about us as individuals, going the extra mile to support our team's wellbeing. It's reassuring to have that kind of support. (Managers caring on a human level)

"
"208","Production"," I feel like our managers really push us to deliver at a high standard, but sometimes it can feel overwhelming with the workload we have. 

"
"209","Customer Service"," I feel like our managers really push us to deliver at a high standard, but sometimes it feels like we're drowning in unrealistic targets and workload.

"
"210","Marketing"," I feel like our marketing department is a bit of a silo, making it hard to collaborate with other teams effectively.
"
"211","Marketing"," I feel like our marketing department is very siloed, making collaboration with other teams difficult and hindering our overall performance.

"
"212","Marketing"," I feel like our marketing department operates in silos, making collaboration difficult and hindering our ability to innovate effectively.

"
"213","Marketing"," I feel like our marketing team is really strong, but we struggle to collaborate with other departments which hinders our overall effectiveness.  
"
"214","Marketing"," I feel like our marketing team is working in silos, hindering our ability to collaborate effectively with other departments. We need more cross-functional projects to break down these barriers.

"
"215","Human Resources"," I feel like we're all working in our own bubbles without much collaboration between departments. It would be great to see more teamwork and communication across the company.

"
"216","Production"," I feel like we're all working in our own bubbles, with little communication between departments. It's frustrating and affects our overall efficiency. 
   
"
"217","Production"," I feel like we're all working in our own little bubbles without much interaction or support from other departments. It would be great to see more collaboration and teamwork across the company. 

"
"218","Marketing"," I feel overwhelmed by the high workload and unrealistic targets set by management. It's affecting my wellbeing.
  
"
"219","Production"," I feel overwhelmed by the high workload and unrealistic targets set for us. It's affecting my wellbeing significantly.
"
"220","Production"," I feel overwhelmed by the high workload at the production site, and it's affecting my wellbeing.
   
"
"221","Customer Service"," I feel overwhelmed by the high workload in our customer service department. It's hard to keep up with unrealistic targets and still deliver quality service.

"
"222","Customer Service"," I feel overwhelmed by the high workload in our customer service department. It's hard to keep up with unrealistic targets and still maintain a sense of wellbeing.

"
"223","Customer Service"," I feel overwhelmed by the high workload in the customer service department. There's a sense of belonging within the team, but the unrealistic targets make it hard to keep up.

"
"224","Marketing"," I feel overwhelmed by the high workload in the marketing department, and at times, it's hard to keep up with the unrealistic targets set for us. There needs to be more consideration for our wellbeing. - Employee struggling with high workload and unrealistic targets, feeling overwhelmed and stressed.

"
"225","Customer Service"," I feel overwhelmed by the unrealistic targets set for our customer service team. It's affecting our wellbeing and ability to deliver at a high standard.
"
"226","Finance"," I feel overwhelmed in the finance department with the high workload and unrealistic targets. It's impacting my wellbeing. 

"
"227","Customer Service"," I feel overwhelmed with the high workload in customer service, and it's affecting my wellbeing. We need more support to maintain quality service. 

"
"228","Research & Development"," I feel recognized and fairly compensated for my efforts in the R&D department, which gives me a sense of accomplishment. But I wish there was more openness to new ideas and feedback from employees to drive further innovation.

"
"229","Customer Service"," I feel recognized for my effort and pay, but I wish there was more autonomy to implement new ideas within our department to enhance customer service.

"
"230","Marketing"," I feel recognized for my efforts and accomplishments in the marketing team, which motivates me to keep pushing for innovation despite the challenges we face. 

"
"231","Customer Service"," I feel recognized for my efforts and accomplishments within the team, which gives me a sense of belonging despite the siloed structure of the company.

"
"232","Customer Service"," I feel recognized for my hard work and effort in the customer service team, but the lack of training to deal with the constant changes makes me doubt my skills sometimes.

"
"233","Marketing"," I feel recognized for my hard work and effort, which is motivating. However, the high workload and unrealistic targets are taking a toll on our mental health. We need to address this issue. 

"
