employee_id,job_level,department,start_month,status,stage,applicant_id,job_id,gender,question_1,question_2,question_3
emp141098,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,pqLylh4fby,Xya00F2mhv,Female,NA,NA,NA
emp141099,Entry Level/ Manual,Marketing,2020-01-01,hired,Stage 4: Team Interview,K1cddbbiI3,uHQ7vFFmrP,Male,NA,NA,NA
emp141101,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,UM7eBHaTWg,3XY0eaRNPm,Female,NA,NA,NA
emp141102,Specialist/ Supervisor,Sales,2020-01-01,hired,Stage 4: Team Interview,YVVFUQn2nh,Sre9WoDcQi,Male,NA,NA,NA
emp141103,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,BbdnrTKHO9,TiANOq8N4X,Male,NA,NA,NA
emp141104,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,XedDV0afGN,JcGUyUzCe5,Female,NA,NA,NA
emp141106,Manager/ Senior Specialist,Production,2020-01-01,hired,Stage 4: Team Interview,4EXUYJON7Z,nR7gAFoZEu,Male,NA,NA,NA
emp141107,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,7XUVAXG0Tm,Zj4GLiU4OA,Female,NA,NA,NA
emp141108,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,26XkG0Bsrs,mtTL1jzCHl,Female,NA,NA,NA
emp141109,Specialist/ Supervisor,Sales,2020-01-01,hired,Stage 4: Team Interview,VrrNQCel4K,6Ubxwn5B48,Male,NA,NA,NA
emp141111,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,PXepsk60fK,ijDz3kJynm,Male,NA,NA,NA
emp141112,Manager/ Senior Specialist,Customer Service,2020-01-01,hired,Stage 4: Team Interview,Ezau1JYpK4,HGPwvuv5hk,Male,NA,NA,NA
emp141113,Specialist/ Supervisor,Marketing,2020-01-01,hired,Stage 4: Team Interview,SdnvBQH8HT,kKVQF1rjSG,Female,NA,NA,NA
emp141114,Manager/ Senior Specialist,Sales,2020-01-01,hired,Stage 4: Team Interview,EkV7Tnwl9O,saJXgLTIsq,Male,NA,NA,NA
emp141115,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,bfhanbRvPh,0vl6NbrfEE,Female,NA,NA,NA
emp141116,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,476tPREXY3,p6dSZEHFv4,Male,NA,NA,NA
emp141117,Director/ Head of,Customer Service,2020-01-01,hired,Stage 4: Team Interview,4zSFK33sFo,J9eDoMGT9V,Male,NA,NA,NA
emp141118,Specialist/ Supervisor,Finance,2020-01-01,hired,Stage 4: Team Interview,xT2YMcGMGs,pEVlw97mnX,Female,NA,NA,NA
emp141119,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,0mnQrrMFMa,Q4N336eQxZ,Male,NA,NA,NA
emp141120,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,uwHdiGfwlT,pVqTpt02bx,Male,NA,NA,NA
emp141121,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,KDWs9IFYdl,ExK5z2ttsW,Male,NA,NA,NA
emp141122,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,0t7Go5vuGH,kfdv3HvlPL,Female,NA,NA,NA
emp141123,Entry Level/ Manual,HR,2020-01-01,hired,Stage 4: Team Interview,BdHFz2ImWJ,AAGBifEa8Q,Female,NA,NA,NA
emp141124,Manager/ Senior Specialist,R&D,2020-01-01,hired,Stage 4: Team Interview,VcYnQQ6xB5,odDZbvsFjF,Male,NA,NA,NA
emp141125,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,XyMTJjgfXn,QOgoXTZAsI,Female,NA,NA,NA
emp141126,Entry Level/ Manual,Marketing,2020-01-01,hired,Stage 4: Team Interview,dHlgZEqm6V,699NQHxsyR,Female,NA,NA,NA
emp141127,Entry Level/ Manual,Marketing,2020-01-01,hired,Stage 4: Team Interview,fQNbw8XhC0,dSQZN9oYvb,Male,NA,NA,NA
emp141128,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,eGyFrnPgGk,x1PkYDBEEk,Male,NA,NA,NA
emp141129,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,FmtgE6nqrx,2kDGQLRU47,Male,NA,NA,NA
emp141130,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,xGp7zEclCP,YoLYfkuUt6,Female,NA,NA,NA
emp141131,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,nGCn4BgEc8,ZfsaWeY7xh,Male,NA,NA,NA
emp141132,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,iwSzHJYEX5,a70B6jR1vh,Female,NA,NA,NA
emp141133,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,jW1lHvAqTk,oXqIkGwkwP,Female,NA,NA,NA
emp141134,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,OpzNahGwT4,OLivdjlTfq,Female,NA,NA,NA
emp141135,Entry Level/ Manual,Finance,2020-01-01,hired,Stage 4: Team Interview,p2Hy4PTFUt,GljTdU9y8R,Male,5,3,3
emp141136,Specialist/ Supervisor,Customer Service,2020-01-01,hired,Stage 4: Team Interview,95b1N49XPi,h1wjAHPfov,Female,NA,NA,NA
emp141137,Specialist/ Supervisor,Production,2020-01-01,hired,Stage 4: Team Interview,qLUzg8m6uP,buEfzV3rWu,Male,NA,NA,NA
emp141139,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,7bWaLblNlt,e9IRmrlmIn,Male,NA,NA,NA
emp141140,Entry Level/ Manual,Finance,2020-01-01,hired,Stage 4: Team Interview,LvdOlFVFA8,l60ilGNV1p,Male,NA,NA,NA
emp141141,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,kYCftia28Q,WWsSvFVgVx,Male,NA,NA,NA
emp141142,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,VeoXTNnLU6,0e7IRsU82N,Male,NA,NA,NA
emp141143,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,axQNK5N42a,4G8htRAvmt,Female,NA,NA,NA
emp141144,Specialist/ Supervisor,Production,2020-01-01,hired,Stage 4: Team Interview,TbsGzGIWSP,E6tIJRalib,Female,NA,NA,NA
emp141145,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,mvUULzHp8C,Y9EAUPkcbJ,Female,NA,NA,NA
emp141146,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,MaDektPK3j,TAz8BN6pC7,Male,NA,NA,NA
emp141147,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,vhHJjxCkz1,iqqRVaqK2a,Male,NA,NA,NA
emp141148,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,AmJVV8jbMA,c6FOF0yQrB,Male,NA,NA,NA
emp141149,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,hE2avfpCU8,CJB8F1ECz8,Male,NA,NA,NA
emp141150,Specialist/ Supervisor,Finance,2020-01-01,hired,Stage 4: Team Interview,AsnFDMLjcK,8jbfESwNuY,Male,NA,NA,NA
emp141151,Specialist/ Supervisor,Production,2020-01-01,hired,Stage 4: Team Interview,D0TGihu6FJ,fGs20FyNHQ,Male,NA,NA,NA
emp141152,Specialist/ Supervisor,Sales,2020-01-01,hired,Stage 4: Team Interview,OHX6JHVDmk,1bnJvqjezS,Female,NA,NA,NA
emp141154,Specialist/ Supervisor,Finance,2020-01-01,hired,Stage 4: Team Interview,HPy1Qc0bP4,XPTxOkSb5Q,Female,NA,NA,NA
emp141155,Specialist/ Supervisor,Customer Service,2020-01-01,hired,Stage 4: Team Interview,IqYorEzjCr,vT4LidgXK8,Male,NA,NA,NA
emp141156,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,BvXli0H57p,Y7d4AZFH5G,Male,NA,NA,NA
emp141157,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,Xn0GSsJcR2,rg3SDZWulL,Male,NA,NA,NA
emp141158,Specialist/ Supervisor,Marketing,2020-01-01,hired,Stage 4: Team Interview,AOxu9t6Hgx,ynZ820TQKS,Female,NA,NA,NA
emp141159,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,a6BsJDPObk,ybCdSKpDdD,Female,NA,NA,NA
emp141160,Manager/ Senior Specialist,Sales,2020-01-01,hired,Stage 4: Team Interview,QS0JRWpqBH,7c4Pm9rTJ1,Male,NA,NA,NA
emp141161,Specialist/ Supervisor,Sales,2020-02-01,hired,Stage 4: Team Interview,KGBM27cMTU,UTIbMgC44k,Female,NA,NA,NA
emp141162,Specialist/ Supervisor,Sales,2020-02-01,hired,Stage 4: Team Interview,Yp5KH3ulaW,dKHgSxSoP0,Female,NA,NA,NA
emp141163,Entry Level/ Manual,Sales,2020-02-01,hired,Stage 4: Assessment Center,XFsYKyAcr3,vx8NNXUZe4,Female,NA,NA,NA
emp141165,Director/ Head of,Sales,2020-02-01,hired,Stage 4: Team Interview,KEnw2gyX47,BYx1igl3Zt,Male,NA,NA,NA
emp141167,Entry Level/ Manual,Customer Service,2020-02-01,hired,Stage 4: Team Interview,jkXxGPp47W,RNXSLHzCzP,Female,NA,NA,NA
emp141168,Manager/ Senior Specialist,R&D,2020-02-01,hired,Stage 4: Team Interview,WXEvaik8sG,Kt4J9sq6WF,Male,NA,NA,NA
emp141171,Entry Level/ Manual,Sales,2020-02-01,hired,Stage 4: Assessment Center,wJMwCipCJ8,DqFZOZ3KyG,Female,NA,NA,NA
emp141172,Entry Level/ Manual,Marketing,2020-02-01,hired,Stage 4: Team Interview,alfeyZhuix,ufW9MkymBt,Male,NA,NA,NA
emp141174,Entry Level/ Manual,Sales,2020-02-01,hired,Stage 4: Assessment Center,tXCW2bz7L5,oi7xEbMsGx,Male,NA,NA,NA
emp141175,Specialist/ Supervisor,Customer Service,2020-02-01,hired,Stage 4: Team Interview,DIARmFxe4n,N51uHrYRFb,Male,NA,NA,NA
emp141176,Manager/ Senior Specialist,R&D,2020-02-01,hired,Stage 4: Team Interview,gWM5hnBqQX,GNxEBaH1bz,Male,NA,NA,NA
emp141177,Entry Level/ Manual,Marketing,2020-02-01,hired,Stage 4: Team Interview,kCc404vRFC,9O1wJtCj45,Female,NA,NA,NA
emp141178,Manager/ Senior Specialist,R&D,2020-02-01,hired,Stage 4: Team Interview,ZIpZv0g9zk,ivrefMeYn5,Male,NA,NA,NA
emp141179,Director/ Head of,Finance,2020-02-01,hired,Stage 4: Team Interview,z63CAwO6aj,2M6WqTNsAZ,Female,NA,NA,NA
emp141181,Entry Level/ Manual,Customer Service,2020-02-01,hired,Stage 4: Team Interview,JMNSWYclxM,47VloSOxV1,Male,NA,NA,NA
emp141182,Director/ Head of,Finance,2020-02-01,hired,Stage 4: Team Interview,3zT2E9JMC7,M3OWVF25Gg,Female,NA,NA,NA
emp141183,Specialist/ Supervisor,Customer Service,2020-02-01,hired,Stage 4: Team Interview,125JWy7roq,q42Oel2h6Z,Female,NA,NA,NA
emp141184,Entry Level/ Manual,Customer Service,2020-02-01,hired,Stage 4: Team Interview,4LbXQCJ0qF,BHZt29zL6v,Male,NA,NA,NA
emp141185,Entry Level/ Manual,Customer Service,2020-02-01,hired,Stage 4: Team Interview,GNhLEvj45G,uJQxJc44lA,Male,NA,NA,NA
emp141186,Entry Level/ Manual,Finance,2020-02-01,hired,Stage 4: Team Interview,VFrsjEraBe,4Hk6Jv5O9I,Female,NA,NA,NA
emp141187,Entry Level/ Manual,Sales,2020-02-01,hired,Stage 4: Assessment Center,K8FmLbXcPi,PWMmZpt6A3,Female,NA,NA,NA
emp141188,Entry Level/ Manual,Sales,2020-02-01,hired,Stage 4: Assessment Center,SNvjqWJNVa,rjFpnFsAWk,Male,NA,NA,NA
emp141189,Entry Level/ Manual,Customer Service,2020-02-01,hired,Stage 4: Team Interview,2anhKPG8R8,P8cFJsgCHC,Female,NA,NA,NA
emp141190,Specialist/ Supervisor,R&D,2020-02-01,hired,Stage 4: Team Interview,o3UbwQPvCJ,zNC4LUSgwb,Female,NA,NA,NA
emp141191,Manager/ Senior Specialist,Production,2020-02-01,hired,Stage 4: Team Interview,MZd5qBR7ne,J9ncTLROoZ,Female,NA,NA,NA
emp141194,Entry Level/ Manual,Customer Service,2020-02-01,hired,Stage 4: Team Interview,Z0e5yFCLRZ,bS589bwthK,Female,NA,NA,NA
emp141196,Manager/ Senior Specialist,Sales,2020-02-01,hired,Stage 4: Team Interview,mXcB8n2ZsY,jFXu8PBoww,Male,NA,NA,NA
emp141197,Specialist/ Supervisor,Sales,2020-02-01,hired,Stage 4: Team Interview,wxGC4ipmN9,6QMskCLvBz,Male,NA,NA,NA
