employee_id,event_date,country,job_level,department,start_date,tenure_years,new_starter
emp113674,2024-04-15,France,Entry Level,Consulting,2023-11-21,2.21,NA
emp102647,2024-04-15,Germany,Manager/ Senior Specialist,Consulting,2022-04-13,3.61,NA
emp112231,2024-04-15,Germany,Specialist,Consulting,2023-10-20,3.17,NA
emp107794,2024-04-16,France,Entry Level,Marketing,2024-04-10,1.68,NA
emp109098,2024-04-16,France,Specialist,R&D,2024-03-21,3.41,NA
emp100569,2024-04-16,Germany,Specialist,Consulting,2023-12-11,2.23,NA
emp125153,2024-04-16,Germany,Entry Level,Consulting,2023-12-10,1.79,NA
emp109573,2024-04-16,Germany,Manager/ Senior Specialist,Customer Service,2021-05-08,4.19,NA
emp128865,2024-04-16,Germany,Entry Level,Customer Service,2023-10-24,1.48,NA
emp125103,2024-04-16,Germany,Entry Level,Marketing,2024-02-22,1.91,NA
emp101855,2024-04-16,Germany,Manager/ Senior Specialist,Sales,2023-02-08,3.32,NA
emp119691,2024-04-16,Germany,Specialist,Sales,2023-09-25,2.8,NA
emp104095,2024-04-16,Italy,Specialist,Marketing,2023-06-07,4.09,NA
emp113833,2024-04-16,Netherlands,Manager/ Senior Specialist,Consulting,2023-02-28,6.59,NA
emp110123,2024-04-16,Spain,Specialist,Consulting,2022-01-22,3.65,NA
emp111634,2024-04-17,Germany,Entry Level,Consulting,2022-09-06,2.7,NA
emp125332,2024-04-18,Germany,Manager/ Senior Specialist,Sales,2022-06-30,5.15,NA
emp128773,2024-04-19,France,Manager/ Senior Specialist,Finance,2020-09-23,5.28,NA
emp113460,2024-04-19,Germany,Specialist,Consulting,2022-05-17,3.15,NA
emp128605,2024-04-19,Germany,Entry Level,Customer Service,2023-11-28,2.08,NA
emp108023,2024-04-19,Italy,Manager/ Senior Specialist,Consulting,2023-01-07,3.29,NA
emp100510,2024-04-19,Netherlands,Manager/ Senior Specialist,Consulting,2022-06-24,3.24,NA
emp113408,2024-04-19,Spain,Manager/ Senior Specialist,Consulting,2023-10-05,4.91,NA
emp100907,2024-04-20,Germany,Specialist,Consulting,2023-06-27,3.28,NA
emp121952,2024-04-20,Germany,Specialist,Customer Service,2022-02-01,3.72,NA
emp112644,2024-04-20,Spain,Specialist,Marketing,2024-01-14,2.82,NA
emp103696,2024-04-21,France,Entry Level,Consulting,2023-10-11,1.97,NA
emp105464,2024-04-21,Germany,Specialist,Sales,2023-06-15,4.33,NA
emp110867,2024-04-22,Germany,Specialist,R&D,2022-09-05,3.51,NA
emp100244,2024-04-22,Spain,Entry Level,Consulting,2023-10-19,2.11,NA
emp112820,2024-04-23,Germany,Entry Level,Consulting,2023-07-22,1.78,NA
emp123998,2024-04-23,Italy,Entry Level,Consulting,2023-09-08,2.65,NA
emp127133,2024-04-23,Netherlands,Specialist,Sales,2024-03-21,2.2,NA
emp110366,2024-04-23,Spain,Entry Level,R&D,2023-12-21,1.32,NA
emp107893,2024-04-25,France,Entry Level,Consulting,2023-06-17,1.98,NA
emp112566,2024-04-25,France,Entry Level,Consulting,2024-01-15,2.19,NA
emp113188,2024-04-25,Germany,Specialist,Consulting,2023-01-10,3.52,NA
emp110595,2024-04-25,Spain,Entry Level,Consulting,2023-11-09,2.45,NA
emp127226,2024-04-26,France,Entry Level,Consulting,2023-06-15,2.9,NA
emp103444,2024-04-26,Germany,Manager/ Senior Specialist,Sales,2023-03-24,2.46,NA
emp116867,2024-04-26,Netherlands,Entry Level,Consulting,2024-02-14,1.54,NA
emp109229,2024-04-26,Netherlands,Specialist,Finance,2021-09-19,4.3,NA
emp125164,2024-04-26,Spain,Entry Level,Consulting,2023-02-07,2.96,NA
emp102476,2024-04-27,France,Specialist,Consulting,2023-08-01,2.56,NA
emp124938,2024-04-27,Germany,Manager/ Senior Specialist,Consulting,2023-11-28,3.99,NA
emp114969,2024-04-27,Germany,Specialist,Customer Service,2023-01-20,3.36,NA
emp126312,2024-04-27,Germany,Entry Level,Sales,2024-02-02,2.76,NA
emp118377,2024-04-27,Netherlands,Specialist,R&D,2024-03-27,2.94,NA
emp113227,2024-04-28,Germany,Entry Level,Consulting,2023-09-27,1.66,NA
emp124789,2024-04-28,Netherlands,Specialist,Consulting,2023-11-26,1.99,NA
emp109645,2024-04-28,Spain,Entry Level,Finance,2022-12-19,2.93,NA
emp104934,2024-04-29,Germany,Specialist,Marketing,2023-03-27,2.75,NA
emp127642,2024-04-29,Germany,Entry Level,R&D,2022-11-30,2.56,NA
emp110984,2024-04-29,Germany,Entry Level,Sales,2023-08-12,2.25,NA
emp108417,2024-04-29,Netherlands,Specialist,Sales,2023-05-16,2.33,NA
emp101321,2024-04-30,Germany,Manager/ Senior Specialist,Marketing,2021-06-16,5.44,NA
emp129472,2024-04-30,Italy,Entry Level,Consulting,2024-02-22,1.44,NA
emp119188,2024-05-01,Germany,Specialist,Consulting,2021-11-08,3.65,NA
emp119847,2024-05-01,Germany,Entry Level,Consulting,2023-07-16,2.35,NA
emp125613,2024-05-01,Germany,Manager/ Senior Specialist,HR,2023-11-19,3.62,NA
emp116262,2024-05-01,Netherlands,Specialist,Consulting,2020-10-21,4.55,NA
emp121862,2024-05-01,Netherlands,Specialist,Finance,2023-08-15,2.51,NA
emp102252,2024-05-01,Spain,Manager/ Senior Specialist,Consulting,2021-12-02,5.88,NA
emp120683,2024-05-02,Germany,Manager/ Senior Specialist,Consulting,2022-05-23,4.75,NA
emp107026,2024-05-02,Spain,Specialist,Customer Service,2024-01-27,3.68,NA
emp106857,2024-05-03,Germany,Specialist,Customer Service,2023-05-31,4.45,NA
emp125594,2024-05-03,Italy,Entry Level,R&D,2023-11-16,2.58,NA
emp109335,2024-05-04,Germany,Director/ Head of,Consulting,2024-04-18,3.93,NA
emp107857,2024-05-04,Germany,Entry Level,Customer Service,2023-12-05,2.08,NA
emp112684,2024-05-04,Germany,Specialist,Marketing,2024-03-11,2.96,NA
emp101410,2024-05-04,Netherlands,Specialist,Consulting,2023-12-31,5.28,NA
emp118276,2024-05-05,France,Manager/ Senior Specialist,Consulting,2024-04-14,3.4,NA
emp119966,2024-05-05,France,Entry Level,R&D,2024-01-27,1.98,NA
emp101006,2024-05-05,Germany,Specialist,Consulting,2023-08-09,3.18,NA
emp116533,2024-05-05,Germany,Director/ Head of,Sales,2024-04-06,6.65,NA
emp126738,2024-05-05,Germany,Entry Level,Sales,2022-10-14,2.91,NA
emp117898,2024-05-06,France,Director/ Head of,Sales,2023-12-20,2.77,NA
emp116494,2024-05-06,Germany,Entry Level,Consulting,2023-12-13,1.96,NA
emp120074,2024-05-06,Germany,Manager/ Senior Specialist,Consulting,2024-04-04,1.78,NA
emp122732,2024-05-07,France,Entry Level,Sales,2023-11-30,1.64,NA
emp112947,2024-05-07,Germany,Entry Level,Sales,2023-03-09,2.57,NA
emp105020,2024-05-08,Germany,Entry Level,Consulting,2023-07-03,2.32,NA
emp101943,2024-05-08,Netherlands,Specialist,Finance,2024-02-22,3.57,NA
emp124999,2024-05-09,Germany,Entry Level,Sales,2024-01-08,1.97,NA
emp128887,2024-05-09,Netherlands,Manager/ Senior Specialist,Consulting,2023-10-20,5.67,NA
emp106485,2024-05-10,Germany,Entry Level,Consulting,2023-05-29,2.36,NA
emp124467,2024-05-10,Germany,Specialist,Consulting,2023-12-29,4.03,NA
emp120701,2024-05-10,Germany,Specialist,Sales,2022-12-03,2.53,NA
emp122572,2024-05-11,Germany,Entry Level,Consulting,2023-09-11,2.4,NA
emp107410,2024-05-11,Germany,Entry Level,Customer Service,2024-02-01,1.43,NA
emp116882,2024-05-11,Germany,Entry Level,Customer Service,2023-10-23,2.72,NA
emp122984,2024-05-11,Germany,Manager/ Senior Specialist,Customer Service,2024-01-14,4.2,NA
emp125537,2024-05-11,Spain,Specialist,Finance,2023-05-21,3.26,NA
emp105199,2024-05-12,Germany,Specialist,Sales,2023-06-26,3.07,NA
emp103408,2024-05-12,Netherlands,Manager/ Senior Specialist,Sales,2022-01-18,3.89,NA
emp114841,2024-05-12,Spain,Manager/ Senior Specialist,Sales,2021-04-13,5.24,NA
emp119191,2024-05-13,France,Specialist,R&D,2023-09-06,3.77,NA
emp113132,2024-05-13,Germany,Specialist,Consulting,2023-11-10,3.01,NA
emp114871,2024-05-13,Germany,Entry Level,Consulting,2023-12-14,2.25,NA
emp125916,2024-05-13,Germany,Manager/ Senior Specialist,Consulting,2022-01-28,6.4,NA
emp128512,2024-05-13,Germany,Entry Level,Consulting,2022-12-23,2.87,NA
emp108740,2024-05-14,France,Manager/ Senior Specialist,Consulting,2024-05-08,4.21,NA
emp126907,2024-05-14,France,Manager/ Senior Specialist,Consulting,2024-01-27,6.3,NA
emp103929,2024-05-14,Germany,Entry Level,Consulting,2024-03-20,2.15,NA
emp116266,2024-05-14,Germany,Specialist,Consulting,2022-11-15,2.86,NA
emp122183,2024-05-14,Germany,Entry Level,Consulting,2023-11-25,2.3,NA
emp120713,2024-05-14,Italy,Specialist,Finance,2020-12-21,5.12,NA
emp120167,2024-05-14,Italy,Specialist,Sales,2023-03-10,3.41,NA
emp104234,2024-05-14,Netherlands,Specialist,Consulting,2022-07-15,3.27,NA
emp118109,2024-05-14,Spain,Manager/ Senior Specialist,Consulting,2021-03-09,4.71,NA
emp122473,2024-05-15,Germany,Entry Level,Consulting,2024-01-04,2.35,NA
emp119323,2024-05-15,Germany,Manager/ Senior Specialist,Finance,2024-03-03,3.43,NA
emp106860,2024-05-15,Netherlands,Manager/ Senior Specialist,Sales,2020-12-31,4.29,NA
emp100539,2024-05-15,Spain,Manager/ Senior Specialist,Consulting,2023-09-15,3.86,NA
emp112601,2024-05-15,Spain,Specialist,Consulting,2022-07-04,3.45,NA
emp112478,2024-05-15,Spain,Specialist,Sales,2023-10-05,2.37,NA
emp127961,2024-05-16,France,Entry Level,Consulting,2024-03-27,1.61,NA
emp101662,2024-05-16,Germany,Specialist,Consulting,2024-04-16,2.17,NA
emp112460,2024-05-16,Germany,Manager/ Senior Specialist,Marketing,2024-02-02,3.39,NA
emp108889,2024-05-16,Germany,Entry Level,Sales,2023-12-28,1.89,NA
emp116136,2024-05-16,Italy,Specialist,Customer Service,2024-05-09,3.08,NA
emp114968,2024-05-16,Spain,Manager/ Senior Specialist,Customer Service,2019-08-22,6.1,NA
emp111500,2024-05-17,Germany,Entry Level,Consulting,2023-11-02,1.76,NA
emp100948,2024-05-17,Netherlands,Entry Level,Consulting,2023-09-10,2.75,NA
emp128220,2024-05-17,Netherlands,Specialist,R&D,2023-10-17,2.7,NA
emp118180,2024-05-18,France,Entry Level,Consulting,2023-05-08,2.21,NA
emp115071,2024-05-18,Germany,Entry Level,Sales,2023-12-23,1.82,NA
emp103846,2024-05-19,France,Specialist,Customer Service,2022-06-29,3.17,NA
emp126418,2024-05-19,France,Entry Level,Finance,2023-08-05,2.26,NA
emp119794,2024-05-19,Germany,Manager/ Senior Specialist,Consulting,2023-08-10,5.22,NA
emp125905,2024-05-19,Germany,Manager/ Senior Specialist,Consulting,2020-12-07,4.79,NA
emp109092,2024-05-19,Italy,Manager/ Senior Specialist,Consulting,2022-06-14,3.42,NA
emp109689,2024-05-19,Italy,Specialist,Customer Service,2022-08-05,3.62,NA
emp115678,2024-05-20,Germany,Specialist,Consulting,2023-12-05,2.81,NA
emp122071,2024-05-20,Germany,Manager/ Senior Specialist,Sales,2022-08-30,3.16,NA
emp120014,2024-05-20,Netherlands,Entry Level,R&D,2022-07-10,3.39,NA
emp103988,2024-05-20,Spain,Specialist,Consulting,2023-07-13,2.47,NA
emp104432,2024-05-21,France,Specialist,Consulting,2024-04-10,3.45,NA
emp100346,2024-05-21,France,Specialist,Finance,2023-12-10,1.98,NA
emp107382,2024-05-21,Germany,Manager/ Senior Specialist,Customer Service,2022-02-08,4.78,NA
emp115947,2024-05-21,Germany,Specialist,Customer Service,2024-01-27,2.17,NA
emp117771,2024-05-21,Netherlands,Specialist,Consulting,2024-03-17,2.46,NA
emp128410,2024-05-21,Netherlands,Specialist,Consulting,2022-12-31,3.9,NA
emp114747,2024-05-21,Netherlands,Entry Level,Customer Service,2024-05-19,1.56,NA
emp122839,2024-05-22,France,Manager/ Senior Specialist,Consulting,2023-08-28,3.88,NA
emp119375,2024-05-22,Germany,Specialist,Consulting,2023-05-20,3.26,NA
emp101853,2024-05-23,Germany,Specialist,R&D,2022-10-26,3.09,NA
emp108442,2024-05-23,Germany,Entry Level,Sales,2023-09-22,2.25,NA
emp116442,2024-05-23,Germany,Manager/ Senior Specialist,Sales,2021-02-20,5.5,NA
emp108905,2024-05-23,Italy,Specialist,Consulting,2023-01-29,2.54,NA
emp109928,2024-05-23,Netherlands,Specialist,Consulting,2023-02-12,2.78,NA
emp113031,2024-05-24,France,Entry Level,Finance,2023-06-21,2.58,NA
emp113625,2024-05-24,Germany,Entry Level,Consulting,2023-07-20,2.22,NA
emp114480,2024-05-24,Germany,Specialist,R&D,2021-12-09,3.94,NA
emp102177,2024-05-25,Germany,Manager/ Senior Specialist,Consulting,2023-01-02,4.25,NA
emp114138,2024-05-25,Germany,Entry Level,Consulting,2022-12-22,2.77,NA
emp129897,2024-05-25,Italy,Entry Level,Consulting,2023-05-22,2.1,NA
emp111648,2024-05-26,Germany,Entry Level,Consulting,2023-06-28,2.62,NA
emp115929,2024-05-26,Germany,Specialist,Consulting,2024-01-29,3.74,NA
emp107547,2024-05-26,Germany,Specialist,Customer Service,2023-02-07,3,NA
emp107742,2024-05-27,Germany,Manager/ Senior Specialist,Consulting,2021-09-30,5.15,NA
emp125400,2024-05-27,Germany,Manager/ Senior Specialist,Consulting,2023-07-16,4.4,NA
emp114246,2024-05-27,Germany,Entry Level,Sales,2024-04-08,2.04,NA
emp120223,2024-05-27,Germany,Director/ Head of,Sales,2022-01-16,5,NA
emp106196,2024-05-28,Germany,Entry Level,Customer Service,2023-12-24,2.2,NA
emp106984,2024-05-28,Germany,Entry Level,Customer Service,2023-11-30,2.01,NA
emp110680,2024-05-28,Germany,Manager/ Senior Specialist,Sales,2023-03-07,5.3,NA
emp122675,2024-05-28,Netherlands,Entry Level,Consulting,2024-02-03,1.98,NA
emp101888,2024-05-29,Germany,Entry Level,Consulting,2023-07-12,2.53,NA
emp128442,2024-05-29,Italy,Entry Level,Customer Service,2024-02-07,2,NA
emp119865,2024-05-30,France,Manager/ Senior Specialist,Customer Service,2022-11-11,4.3,NA
emp121036,2024-05-31,Germany,Specialist,Consulting,2023-05-06,2.83,NA
emp111388,2024-05-31,Germany,Specialist,Customer Service,2022-02-28,4.49,NA
emp112612,2024-05-31,Germany,Manager/ Senior Specialist,Finance,2024-01-07,2.76,NA
emp117402,2024-05-31,Netherlands,Entry Level,Marketing,2022-11-24,2.86,NA
emp113059,2024-05-31,Spain,Specialist,Consulting,2020-08-23,4.69,NA
emp122619,2024-06-01,France,Specialist,Consulting,2024-04-20,1.98,NA
emp100159,2024-06-01,Germany,Manager/ Senior Specialist,Consulting,2023-12-28,4.91,NA
emp113498,2024-06-01,Germany,Manager/ Senior Specialist,Consulting,2023-01-27,4.67,NA
emp115907,2024-06-01,Germany,Entry Level,Consulting,2024-01-12,1.28,NA
emp116649,2024-06-01,Germany,Entry Level,Consulting,2023-04-10,2.47,NA
emp119460,2024-06-01,Germany,Entry Level,Consulting,2023-12-27,2.31,NA
emp109234,2024-06-02,Germany,Manager/ Senior Specialist,Sales,2022-05-16,3.5,NA
emp116265,2024-06-02,Netherlands,Manager/ Senior Specialist,Consulting,2023-05-23,2.35,NA
emp124166,2024-06-03,Germany,Specialist,Consulting,2022-05-26,3.04,NA
emp120102,2024-06-03,Italy,Director/ Head of,Consulting,2019-08-03,5.93,NA
emp111458,2024-06-03,Italy,Manager/ Senior Specialist,Sales,2023-01-10,4.6,NA
emp116282,2024-06-03,Spain,Entry Level,R&D,2023-04-12,2.36,NA
emp117682,2024-06-04,Germany,Entry Level,Marketing,2023-03-01,2.51,NA
emp122486,2024-06-05,France,Manager/ Senior Specialist,Customer Service,2023-02-22,5.09,NA
emp121678,2024-06-05,Germany,Entry Level,Consulting,2022-09-04,2.9,NA
emp108560,2024-06-05,Germany,Manager/ Senior Specialist,HR,2021-07-27,4.35,NA
emp127753,2024-06-05,Italy,Specialist,Customer Service,2023-09-11,3.49,NA
emp118282,2024-06-05,Netherlands,Entry Level,Consulting,2024-03-24,1.99,NA
emp127493,2024-06-06,France,Manager/ Senior Specialist,Consulting,2022-05-10,3.47,NA
emp115253,2024-06-06,Germany,Specialist,Consulting,2023-06-03,3.22,NA
emp122668,2024-06-06,Netherlands,Specialist,R&D,2024-03-17,3.19,NA
emp115372,2024-06-07,Germany,Specialist,Marketing,2023-06-03,2.22,NA
emp127446,2024-06-07,Netherlands,Specialist,R&D,2022-10-11,3.43,NA
emp108303,2024-06-07,Netherlands,Specialist,Sales,2024-01-25,3.39,NA
emp127180,2024-06-08,France,Manager/ Senior Specialist,Marketing,2022-09-25,3.03,NA
emp100386,2024-06-08,France,Manager/ Senior Specialist,Sales,2023-10-11,4.74,NA
emp122813,2024-06-08,France,Manager/ Senior Specialist,Sales,2023-10-31,3.54,NA
emp103931,2024-06-08,Germany,Specialist,Sales,2022-07-05,3.37,NA
emp116068,2024-06-08,Germany,Entry Level,Sales,2024-05-27,2.09,NA
emp101906,2024-06-08,Spain,Manager/ Senior Specialist,Consulting,2022-06-06,4.33,NA
emp111221,2024-06-08,Spain,Manager/ Senior Specialist,Consulting,2023-07-14,4.99,NA
emp128115,2024-06-09,Germany,Entry Level,Consulting,2023-11-16,1.81,NA
emp121804,2024-06-09,Germany,Specialist,R&D,2022-06-08,3.43,NA
emp124867,2024-06-09,Germany,Manager/ Senior Specialist,R&D,2022-12-26,5.03,NA
emp109990,2024-06-09,Italy,Manager/ Senior Specialist,Consulting,2020-09-09,4.83,NA
emp110734,2024-06-09,Netherlands,Director/ Head of,Consulting,2020-08-14,6.55,NA
emp111558,2024-06-09,Spain,Entry Level,Finance,2023-11-07,2.31,NA
emp120476,2024-06-10,Germany,Entry Level,Sales,2024-05-25,1.78,NA
emp107869,2024-06-10,Netherlands,Manager/ Senior Specialist,Consulting,2022-12-20,4.3,NA
emp129305,2024-06-11,France,Specialist,Consulting,2023-04-24,3.7,NA
emp105749,2024-06-11,Germany,Manager/ Senior Specialist,Consulting,2023-09-09,5.2,NA
emp117041,2024-06-11,Netherlands,Specialist,Marketing,2022-04-05,3.43,NA
emp120875,2024-06-12,France,Specialist,R&D,2022-04-02,4.35,NA
emp108125,2024-06-12,France,Manager/ Senior Specialist,Sales,2024-03-01,2.78,NA
emp129445,2024-06-12,Germany,Entry Level,Consulting,2023-06-28,2.13,NA
emp100446,2024-06-13,France,Specialist,Consulting,2022-11-19,3.14,NA
emp111105,2024-06-13,France,Specialist,R&D,2021-02-20,4.65,NA
emp102832,2024-06-13,France,Director/ Head of,Sales,2021-10-26,5.68,NA
emp101225,2024-06-13,Germany,Entry Level,Sales,2023-12-31,2.65,NA
emp128666,2024-06-13,Spain,Manager/ Senior Specialist,Consulting,2021-11-19,4.16,NA
emp123598,2024-06-13,Spain,Entry Level,Sales,2023-05-31,2.4,NA
emp111756,2024-06-14,Germany,Entry Level,Consulting,2023-07-15,2.25,NA
emp110578,2024-06-14,Germany,Entry Level,Sales,2024-06-04,1.85,NA
emp108252,2024-06-14,Netherlands,Manager/ Senior Specialist,Consulting,2022-04-17,4.65,NA
emp108655,2024-06-14,Spain,Specialist,Marketing,2023-03-30,3.91,NA
emp112454,2024-06-15,Germany,Specialist,Consulting,2022-09-03,3.56,NA
emp120816,2024-06-15,Germany,Manager/ Senior Specialist,Consulting,2023-09-08,3.9,NA
emp126127,2024-06-15,Netherlands,Manager/ Senior Specialist,Consulting,2022-03-31,5.31,NA
emp103622,2024-06-16,France,Specialist,Customer Service,2022-09-08,3.55,NA
emp115258,2024-06-16,Germany,Entry Level,Consulting,2023-12-23,2.72,NA
emp105057,2024-06-17,Germany,Manager/ Senior Specialist,Consulting,2023-08-31,4.49,NA
emp118125,2024-06-17,Germany,Specialist,Consulting,2023-05-24,4.05,NA
emp106385,2024-06-17,Germany,Entry Level,Customer Service,2023-11-30,3,NA
emp101649,2024-06-17,Germany,Specialist,Finance,2023-08-28,2.29,NA
emp109658,2024-06-17,Germany,Specialist,Marketing,2023-08-23,3.18,NA
emp110061,2024-06-17,Germany,Manager/ Senior Specialist,Sales,2022-10-31,4.63,NA
emp122511,2024-06-17,Germany,Entry Level,Sales,2023-03-07,2.48,NA
emp123441,2024-06-17,Germany,Entry Level,Sales,2023-11-25,1.66,NA
emp110468,2024-06-17,Netherlands,Entry Level,Consulting,2024-04-29,2.02,NA
emp129872,2024-06-17,Netherlands,Manager/ Senior Specialist,Consulting,2023-11-30,2.99,NA
emp127785,2024-06-18,France,Entry Level,HR,2023-12-16,1.85,NA
emp118298,2024-06-18,Germany,Entry Level,Consulting,2024-05-19,1.62,NA
emp126848,2024-06-18,Germany,Manager/ Senior Specialist,Consulting,2021-06-12,5.31,NA
emp125286,2024-06-18,Germany,Manager/ Senior Specialist,Marketing,2021-11-17,5.8,NA
emp124021,2024-06-18,Germany,Specialist,R&D,2024-05-04,3.48,NA
emp103330,2024-06-18,Germany,Entry Level,Sales,2022-06-23,3.18,NA
emp126740,2024-06-18,Germany,Entry Level,Sales,2024-05-23,3.05,NA
emp119365,2024-06-18,Netherlands,Manager/ Senior Specialist,Customer Service,2021-01-20,4.89,NA
emp116719,2024-06-18,Netherlands,Entry Level,R&D,2023-06-10,2.16,NA
emp121585,2024-06-18,Spain,Manager/ Senior Specialist,Consulting,2021-04-04,4.79,NA
emp129365,2024-06-18,Spain,Specialist,R&D,2023-06-20,3.17,NA
emp108781,2024-06-19,France,Specialist,Customer Service,2024-05-17,2.44,NA
emp114929,2024-06-19,France,Specialist,R&D,2024-05-21,2.62,NA
emp128339,2024-06-19,Germany,Entry Level,Consulting,2024-04-15,1.27,NA
emp109128,2024-06-19,Germany,Specialist,Finance,2023-09-08,2.82,NA
emp114993,2024-06-19,Germany,Specialist,Sales,2022-10-23,4.15,NA
emp126589,2024-06-19,Germany,Manager/ Senior Specialist,Sales,2020-07-12,5.19,NA
emp111019,2024-06-20,Germany,Director/ Head of,Finance,2021-12-19,6.34,NA
emp121018,2024-06-20,Germany,Entry Level,Marketing,2024-03-17,1.93,NA
emp105662,2024-06-20,Italy,Manager/ Senior Specialist,R&D,2021-06-27,4.2,NA
emp105605,2024-06-20,Spain,Specialist,Consulting,2024-04-04,2.61,NA
emp126715,2024-06-21,Germany,Specialist,R&D,2024-06-13,1.03,NA
emp104499,2024-06-21,Italy,Manager/ Senior Specialist,Sales,2021-09-15,6.01,NA
emp126175,2024-06-21,Italy,Specialist,Sales,2023-12-02,3.98,NA
emp103570,2024-06-21,Netherlands,Manager/ Senior Specialist,Customer Service,2023-08-06,4.14,NA
emp120127,2024-06-21,Spain,Entry Level,Customer Service,2023-04-09,2.66,NA
emp116512,2024-06-22,Germany,Specialist,R&D,2021-12-14,4.4,NA
emp126593,2024-06-22,Spain,Specialist,Consulting,2024-02-24,1.53,NA
emp103620,2024-06-23,France,Specialist,Consulting,2023-10-17,3.72,NA
emp122479,2024-06-23,France,Entry Level,Consulting,2024-06-11,1.9,NA
emp111592,2024-06-23,France,Entry Level,Customer Service,2021-07-23,4.29,NA
emp125729,2024-06-23,Germany,Specialist,Customer Service,2023-11-07,4.13,NA
emp123664,2024-06-23,Germany,Entry Level,HR,2024-03-14,1.22,NA
emp114378,2024-06-23,Germany,Manager/ Senior Specialist,R&D,2021-01-19,5.1,NA
emp117426,2024-06-23,Germany,Manager/ Senior Specialist,R&D,2020-10-28,4.95,NA
emp113415,2024-06-23,Netherlands,Entry Level,Consulting,2023-11-16,2.1,NA
emp102554,2024-06-23,Spain,Manager/ Senior Specialist,Consulting,2022-02-27,3.55,NA
emp117965,2024-06-23,Spain,Director/ Head of,HR,2022-06-10,6.09,NA
emp101591,2024-06-24,France,Entry Level,Consulting,2024-03-22,2.01,NA
emp118590,2024-06-24,Germany,Specialist,Consulting,2024-01-14,2.73,NA
emp121156,2024-06-24,Germany,Entry Level,Sales,2024-01-04,2.06,NA
emp121706,2024-06-24,Germany,Entry Level,Sales,2023-11-01,1.77,NA
