employee_id,job_level,country,department,start_date,leaving_date,tenure_years,employee_status,event_date,event_type,event_id,event_no,update_status
emp100051,Manager/ Senior Specialist,Germany,Consulting,2019-12-19,2024-11-30,4.95,Leaver,2021-01-11,Parental Leave,KvbV0reA5p,1,historic
emp100051,Manager/ Senior Specialist,Germany,Consulting,2019-12-19,2024-11-30,4.95,Leaver,2021-02-02,Promotion,sBzi3i8MVY,2,historic
emp100051,Manager/ Senior Specialist,Germany,Consulting,2019-12-19,2024-11-30,4.95,Leaver,2021-10-10,Promotion,Z1ZOtSy7vI,3,historic
emp100051,Manager/ Senior Specialist,Germany,Consulting,2019-12-19,2024-11-30,4.95,Leaver,2022-05-30,Promotion,Xsk4muWWlS,4,historic
emp100051,Manager/ Senior Specialist,Germany,Consulting,2019-12-19,2024-11-30,4.95,Leaver,2022-10-09,Promotion,pkhwphrIJ2,5,active
emp100053,Specialist,Netherlands,Consulting,2025-03-29,NA,3.16,Current,2025-04-09,Promotion,suadXD55xF,1,active
emp100054,Entry Level,Netherlands,Customer Service,2022-08-18,2024-12-05,2.3,Leaver,2024-06-26,Salary Increase,BKVHnPQ2Gn,1,active
emp100056,Entry Level,Germany,Customer Service,2024-08-09,NA,1.06,Current,2024-09-02,Promotion,Eux2QgokmK,1,active
emp100059,Entry Level,Germany,Sales,2019-08-31,2021-04-17,1.63,Leaver,2021-04-16,Promotion,ZViOk625MD,1,active
emp100060,Entry Level,Spain,Finance,2025-02-12,NA,2.04,Current,2025-02-12,Salary Increase,kDDFLpnf87,1,historic
emp100060,Entry Level,Spain,Finance,2025-02-12,NA,2.04,Current,2025-03-11,Promotion,wUoTb7MASB,2,active
emp100061,Specialist,Italy,Consulting,2019-07-07,2024-06-07,4.92,Leaver,2023-08-23,Department Change,YjSYpIqbaQ,1,active
emp100062,Specialist,France,Customer Service,2018-11-27,2022-05-03,3.43,Leaver,2019-07-04,Promotion,QL83OeV2hQ,1,historic
emp100062,Specialist,France,Customer Service,2018-11-27,2022-05-03,3.43,Leaver,2020-04-15,Promotion,rUhGuxnZFa,2,historic
emp100062,Specialist,France,Customer Service,2018-11-27,2022-05-03,3.43,Leaver,2021-05-02,Promotion,3tcM1fPLDo,3,active
emp100063,Specialist,Germany,Finance,2023-05-18,NA,4.67,Current,2025-02-12,Promotion,JOIXq24zyu,1,active
emp100064,Manager/ Senior Specialist,Germany,Sales,2024-04-22,NA,2.62,Current,2024-09-05,Salary Increase,jYKKbwb3wL,1,active
emp100065,Specialist,Germany,Consulting,2025-01-11,NA,3.33,Current,2025-02-17,Salary Increase,LxtJ0D4boV,1,historic
emp100065,Specialist,Germany,Consulting,2025-01-11,NA,3.33,Current,2025-03-10,Promotion,OCpl9fGKlI,2,historic
emp100065,Specialist,Germany,Consulting,2025-01-11,NA,3.33,Current,2025-03-21,Promotion,7k2pyRJ5qR,3,active
emp100066,Entry Level,Germany,Customer Service,2018-06-27,2021-02-28,2.67,Leaver,2018-12-15,Salary Increase,8lh3XKQVI4,1,historic
emp100066,Entry Level,Germany,Customer Service,2018-06-27,2021-02-28,2.67,Leaver,2019-08-19,Promotion,r3klL1folZ,2,active
emp100067,Manager/ Senior Specialist,Germany,Consulting,2025-01-03,NA,5.26,Current,2025-02-03,Promotion,MjSbc1w0bU,1,historic
emp100067,Manager/ Senior Specialist,Germany,Consulting,2025-01-03,NA,5.26,Current,2025-02-23,Salary Increase,Pr2BqQqyZ5,2,active
emp100068,Specialist,Netherlands,Consulting,2018-10-16,2022-08-30,3.87,Leaver,2021-06-03,Promotion,2aU7scSlmq,1,active
emp100070,Specialist,Germany,Consulting,2018-05-21,2021-07-23,3.17,Leaver,2018-07-03,Promotion,Nqm7Q1CgIl,1,historic
emp100070,Specialist,Germany,Consulting,2018-05-21,2021-07-23,3.17,Leaver,2020-01-15,Salary Increase,cp51L6i7Pr,2,active
emp100072,Entry Level,Netherlands,Customer Service,2019-10-06,2021-02-18,1.37,Leaver,2020-01-29,Promotion,d0Z1Uw6jVR,1,active
emp100073,Specialist,Germany,Customer Service,2019-03-05,2021-09-27,2.56,Leaver,2021-01-08,Promotion,8tOY6kKxBb,1,active
emp100075,Manager/ Senior Specialist,Germany,Sales,2017-11-29,2021-03-14,3.29,Leaver,2018-06-17,Salary Increase,rv5A2uqJ4S,1,historic
emp100075,Manager/ Senior Specialist,Germany,Sales,2017-11-29,2021-03-14,3.29,Leaver,2020-06-17,Promotion,3WmYZzVcAN,2,historic
emp100075,Manager/ Senior Specialist,Germany,Sales,2017-11-29,2021-03-14,3.29,Leaver,2020-07-16,Promotion,7p7EsBl1ze,3,active
emp100077,Entry Level,Netherlands,Consulting,2019-04-22,2021-07-10,2.22,Leaver,2020-03-10,Salary Increase,c1VzyKHx1M,1,active
emp100078,Entry Level,Germany,Marketing,2023-04-03,2025-03-29,1.99,Leaver,2024-06-28,Promotion,WFSegIDfqo,1,active
emp100079,Specialist,Germany,Consulting,2017-12-08,2021-07-07,3.58,Leaver,2018-09-12,Promotion,0HC3mha6MA,1,historic
emp100079,Specialist,Germany,Consulting,2017-12-08,2021-07-07,3.58,Leaver,2019-12-21,Promotion,0G42DAO0t5,2,historic
emp100079,Specialist,Germany,Consulting,2017-12-08,2021-07-07,3.58,Leaver,2020-08-23,Promotion,2pE1yirQ4J,3,active
emp100080,Manager/ Senior Specialist,Italy,Consulting,2024-01-25,NA,5.06,Current,2024-08-30,Promotion,8T5xHNxVN7,1,active
emp100082,Entry Level,France,Consulting,2020-07-17,2022-07-08,1.98,Leaver,2022-01-21,Salary Increase,o8dplwKOo6,1,active
emp100083,Entry Level,Netherlands,Customer Service,2023-05-17,NA,2.03,Current,2024-04-12,Promotion,55WDoXlq7d,1,active
emp100085,Manager/ Senior Specialist,Italy,Consulting,2024-11-13,NA,4.91,Current,2024-12-17,Promotion,9FdgKNVv3G,1,active
emp100093,Manager/ Senior Specialist,Italy,Consulting,2022-03-24,NA,4.18,Current,2025-03-25,Promotion,ptyhlrK6hL,1,active
emp100094,Entry Level,France,Consulting,2022-02-20,2024-04-23,2.17,Leaver,2023-11-19,Promotion,UXuUuvGvna,1,active
emp100095,Specialist,Italy,Customer Service,2022-01-05,NA,3.59,Current,2023-02-24,Salary Increase,76mg6NU9o3,1,historic
emp100095,Specialist,Italy,Customer Service,2022-01-05,NA,3.59,Current,2023-08-02,Promotion,VH1DX0Mwo8,2,active
emp100097,Entry Level,Germany,Consulting,2019-07-30,2021-11-29,2.33,Leaver,2020-02-07,Promotion,V0YEXj3mUX,1,historic
emp100097,Entry Level,Germany,Consulting,2019-07-30,2021-11-29,2.33,Leaver,2021-11-28,Promotion,NJ0fOeQqth,2,active
emp100098,Specialist,Germany,Customer Service,2018-08-18,2021-07-05,2.88,Leaver,2019-10-01,Promotion,LEL8PtYkL7,1,active
emp100101,Specialist,Germany,HR,2024-12-22,NA,2.99,Current,2024-12-30,Promotion,R1OBr7JlaM,1,active
emp100102,Entry Level,Germany,Finance,2022-11-25,NA,2.57,Current,2023-01-12,Promotion,bteeS9Xvuw,1,historic
emp100102,Entry Level,Germany,Finance,2022-11-25,NA,2.57,Current,2025-02-07,Salary Increase,WYIqvE9dBb,2,active
emp100105,Entry Level,Germany,Sales,2018-02-07,2020-01-24,1.96,Leaver,2018-06-12,Promotion,LWZf9FuNcY,1,historic
emp100105,Entry Level,Germany,Sales,2018-02-07,2020-01-24,1.96,Leaver,2018-07-25,Promotion,T4CSDK1hz9,2,active
emp100108,Entry Level,Italy,Consulting,2021-01-26,2024-02-05,3.03,Leaver,2023-06-11,Promotion,HgdeAfzeqk,1,active
emp100112,Specialist,Germany,Customer Service,2021-01-18,2024-11-24,3.85,Leaver,2022-02-23,Promotion,3HtfQQYZ1O,1,historic
emp100112,Specialist,Germany,Customer Service,2021-01-18,2024-11-24,3.85,Leaver,2022-11-01,Department Change,vPJgsRsLxk,2,historic
emp100112,Specialist,Germany,Customer Service,2021-01-18,2024-11-24,3.85,Leaver,2024-04-04,Salary Increase,TO49kH5xzR,3,active
emp100113,Specialist,Germany,Finance,2016-12-13,2020-01-20,3.1,Leaver,2017-03-30,Salary Increase,Tu5eX0YB91,1,active
emp100114,Entry Level,Spain,Finance,2022-08-26,2024-08-25,2,Leaver,2022-10-16,Parental Leave,ZxWtrsHt7G,1,active
emp100115,Manager/ Senior Specialist,France,Sales,2020-04-26,2024-04-26,4,Leaver,2020-06-23,Salary Increase,eg7EtRVb3C,1,active
emp100116,Specialist,Italy,R&D,2018-01-18,2021-02-06,3.05,Leaver,2019-10-31,Promotion,P9EKRafQRr,1,active
emp100119,Entry Level,Germany,Customer Service,2022-04-04,2024-08-03,2.33,Leaver,2023-03-01,Salary Increase,j7QR1vOLbr,1,historic
emp100119,Entry Level,Germany,Customer Service,2022-04-04,2024-08-03,2.33,Leaver,2024-02-22,Salary Increase,C50jptdYOG,2,active
emp100121,Director/ Head of,Germany,Consulting,2023-02-13,NA,5.11,Current,2023-10-02,Promotion,breveTpNcI,1,historic
emp100121,Director/ Head of,Germany,Consulting,2023-02-13,NA,5.11,Current,2024-08-01,Promotion,M788XL0gdr,2,historic
emp100121,Director/ Head of,Germany,Consulting,2023-02-13,NA,5.11,Current,2024-11-28,Promotion,f71XDLpo3y,3,historic
emp100121,Director/ Head of,Germany,Consulting,2023-02-13,NA,5.11,Current,2025-01-23,Promotion,YEqfy3Ywwy,4,historic
emp100121,Director/ Head of,Germany,Consulting,2023-02-13,NA,5.11,Current,2025-02-03,Promotion,VrcnE4MUQQ,5,active
emp100122,Manager/ Senior Specialist,France,Consulting,2022-08-21,NA,3.16,Current,2022-09-13,Promotion,NfyjXKXjcN,1,historic
emp100122,Manager/ Senior Specialist,France,Consulting,2022-08-21,NA,3.16,Current,2023-03-30,Promotion,0uwFD9BVgS,2,historic
emp100122,Manager/ Senior Specialist,France,Consulting,2022-08-21,NA,3.16,Current,2024-03-21,Promotion,9PCBFnGozX,3,active
emp100123,Entry Level,Germany,Customer Service,2022-11-20,NA,2.49,Current,2024-02-04,Promotion,d9zkaWE3vs,1,historic
emp100123,Entry Level,Germany,Customer Service,2022-11-20,NA,2.49,Current,2025-02-11,Promotion,eGTMlISDKt,2,active
emp100125,Entry Level,Germany,Sales,2023-10-05,NA,2.39,Current,2024-02-21,Promotion,vSZbb9X91A,1,active
emp100128,Manager/ Senior Specialist,Netherlands,Consulting,2018-05-29,2022-02-03,3.68,Leaver,2018-06-07,Promotion,DDxiC6cL3a,1,historic
emp100128,Manager/ Senior Specialist,Netherlands,Consulting,2018-05-29,2022-02-03,3.68,Leaver,2020-09-28,Promotion,qkRNOlFpvm,2,historic
emp100128,Manager/ Senior Specialist,Netherlands,Consulting,2018-05-29,2022-02-03,3.68,Leaver,2021-07-07,Promotion,IT5P0XLxff,3,active
emp100129,Entry Level,Germany,Marketing,2018-11-04,2020-10-09,1.93,Leaver,2019-08-12,Promotion,jY6IrLFkCg,1,active
emp100132,Entry Level,Netherlands,Finance,2025-02-13,NA,1.89,Current,2025-03-29,Promotion,gFnxPDjY2n,1,active
emp100133,Specialist,Netherlands,Consulting,2023-10-01,NA,4.62,Current,2023-11-23,Promotion,QPq0AB74iL,1,historic
emp100133,Specialist,Netherlands,Consulting,2023-10-01,NA,4.62,Current,2023-12-22,Promotion,JUqCSYU28e,2,historic
emp100133,Specialist,Netherlands,Consulting,2023-10-01,NA,4.62,Current,2024-03-05,Promotion,LMyMpvpK2D,3,historic
emp100133,Specialist,Netherlands,Consulting,2023-10-01,NA,4.62,Current,2024-06-24,Promotion,3O7kDC3Na1,4,active
emp100135,Specialist,Germany,HR,2020-04-17,2022-08-08,2.31,Leaver,2020-07-05,Promotion,GGv6recaPj,1,historic
emp100135,Specialist,Germany,HR,2020-04-17,2022-08-08,2.31,Leaver,2022-01-22,Salary Increase,e81oHd3TLb,2,active
emp100137,Entry Level,Germany,HR,2021-08-08,2023-09-18,2.11,Leaver,2022-02-09,Promotion,AxpnnOKI1o,1,historic
emp100137,Entry Level,Germany,HR,2021-08-08,2023-09-18,2.11,Leaver,2022-04-15,Salary Increase,MuirLSQb9Y,2,active
emp100138,Entry Level,Netherlands,Consulting,2024-07-30,NA,2.15,Current,2024-07-30,Promotion,Aqn48J3iPz,1,historic
emp100138,Entry Level,Netherlands,Consulting,2024-07-30,NA,2.15,Current,2024-09-27,Promotion,EcjjTJyhN8,2,active
emp100142,Specialist,Germany,Consulting,2022-03-17,2024-06-13,2.24,Leaver,2022-09-17,Promotion,HSyb69nKgK,1,active
emp100143,Specialist,Germany,R&D,2018-05-27,2020-09-04,2.27,Leaver,2018-12-19,Promotion,4iWZQnVkye,1,historic
emp100143,Specialist,Germany,R&D,2018-05-27,2020-09-04,2.27,Leaver,2020-02-24,Promotion,yg4mNIkdHI,2,active
emp100144,Specialist,Germany,Finance,2023-09-14,NA,4.12,Current,2024-02-02,Promotion,c8x9SNO19Y,1,historic
emp100144,Specialist,Germany,Finance,2023-09-14,NA,4.12,Current,2025-03-12,Department Change,BztRPZO55R,2,historic
emp100144,Specialist,Germany,Finance,2023-09-14,NA,4.12,Current,2025-04-10,Promotion,ShKVE2XfqG,3,active
emp100145,Manager/ Senior Specialist,Germany,Sales,2024-01-19,NA,4.29,Current,2024-11-04,Promotion,4AAzk9WL0K,1,historic
emp100145,Manager/ Senior Specialist,Germany,Sales,2024-01-19,NA,4.29,Current,2025-04-01,Salary Increase,vvHWSKFKtt,2,active
emp100147,Specialist,Germany,Consulting,2021-10-24,2023-08-23,1.83,Leaver,2022-11-05,Salary Increase,L08QQ8klBr,1,historic
emp100147,Specialist,Germany,Consulting,2021-10-24,2023-08-23,1.83,Leaver,2023-03-06,Salary Increase,LISOQYWMLK,2,active
emp100148,Entry Level,France,HR,2020-08-04,2022-03-09,1.59,Leaver,2020-11-24,Promotion,rn9kAmV3RK,1,active
emp100149,Entry Level,Italy,Consulting,2019-05-30,2021-09-25,2.32,Leaver,2020-01-20,Promotion,KZQQyCy8gw,1,historic
emp100149,Entry Level,Italy,Consulting,2019-05-30,2021-09-25,2.32,Leaver,2020-10-04,Promotion,XI1dKK3CVU,2,active
emp100150,Entry Level,France,Consulting,2024-05-30,NA,2.19,Current,2024-11-18,Salary Increase,Djy5d9PeYe,1,historic
emp100150,Entry Level,France,Consulting,2024-05-30,NA,2.19,Current,2024-11-22,Promotion,hlowlG15mO,2,active
emp100152,Entry Level,Netherlands,Marketing,2024-06-01,NA,1.33,Current,2025-01-11,Salary Increase,eYXuKJi33C,1,active
emp100153,Specialist,Germany,R&D,2018-03-03,2021-08-15,3.45,Leaver,2018-03-16,Salary Increase,99VhgJo9xI,1,historic
emp100153,Specialist,Germany,R&D,2018-03-03,2021-08-15,3.45,Leaver,2018-10-11,Salary Increase,C2ojtaMGFP,2,active
emp100154,Director/ Head of,France,Consulting,2021-10-16,NA,6.19,Current,2022-05-26,Promotion,hOi47WC3df,1,historic
emp100154,Director/ Head of,France,Consulting,2021-10-16,NA,6.19,Current,2022-09-12,Salary Increase,YTgwyC3Qn6,2,active
emp100155,Entry Level,Netherlands,Consulting,2023-09-01,2024-11-03,1.17,Leaver,2024-06-17,Salary Increase,zfp3osz0XT,1,active
emp100156,Specialist,Netherlands,Consulting,2023-09-21,NA,3.89,Current,2025-01-20,Salary Increase,Fxo11GYUbX,1,active
emp100157,Entry Level,Netherlands,Sales,2018-04-27,2020-05-09,2.03,Leaver,2019-02-13,Promotion,reVK7OYfAP,1,active
emp100159,Manager/ Senior Specialist,Germany,Consulting,2023-12-28,NA,4.91,Current,2024-06-01,Promotion,27y1sFupfb,1,active
emp100163,Specialist,Germany,Consulting,2017-11-19,2020-02-16,2.24,Leaver,2018-03-09,Salary Increase,rx4GzQlv43,1,active
emp100166,Specialist,Italy,Customer Service,2019-05-24,2022-02-13,2.73,Leaver,2019-09-12,Promotion,7V9emjDo8A,1,active
emp100168,Entry Level,Germany,Consulting,2023-10-05,NA,2.7,Current,2025-02-15,Promotion,jz7RSDCFlR,1,active
emp100169,Specialist,Spain,Consulting,2023-07-09,NA,3.36,Current,2024-02-29,Salary Increase,CfsN6QM1hh,1,active
emp100170,Manager/ Senior Specialist,France,Consulting,2022-08-13,NA,2.73,Current,2024-11-25,Promotion,jctJm57f0u,1,active
emp100172,Specialist,Germany,Finance,2024-10-23,NA,4.11,Current,2024-10-29,Promotion,yHkx2gdazn,1,historic
emp100172,Specialist,Germany,Finance,2024-10-23,NA,4.11,Current,2025-03-01,Promotion,UHE2KSxkcS,2,active
emp100174,Manager/ Senior Specialist,Germany,Consulting,2016-03-01,2020-07-16,4.38,Leaver,2016-04-25,Salary Increase,ig3f0OY5Et,1,historic
emp100174,Manager/ Senior Specialist,Germany,Consulting,2016-03-01,2020-07-16,4.38,Leaver,2018-09-10,Promotion,UZXtKf8iub,2,historic
emp100174,Manager/ Senior Specialist,Germany,Consulting,2016-03-01,2020-07-16,4.38,Leaver,2019-11-24,Promotion,lfiXq93IN4,3,active
emp100175,Entry Level,Germany,R&D,2024-06-08,NA,1.48,Current,2025-03-04,Promotion,oGoYWUB5dt,1,active
emp100177,Manager/ Senior Specialist,Germany,Consulting,2020-06-08,2023-02-09,2.67,Leaver,2022-06-21,Promotion,Aq1tslzow8,1,active
emp100178,Specialist,Netherlands,Sales,2023-04-22,NA,2.56,Current,2025-03-30,Promotion,uEOzbDBp0X,1,active
emp100179,Manager/ Senior Specialist,Germany,R&D,2022-01-23,NA,3.87,Current,2023-03-24,Department Change,diaA0aB439,1,historic
emp100179,Manager/ Senior Specialist,Germany,R&D,2022-01-23,NA,3.87,Current,2023-06-20,Promotion,uxtxbJ7zxe,2,historic
emp100179,Manager/ Senior Specialist,Germany,R&D,2022-01-23,NA,3.87,Current,2023-08-14,Promotion,V4MbQJK6vl,3,active
emp100180,Manager/ Senior Specialist,France,R&D,2018-09-22,2023-02-10,4.39,Leaver,2018-11-02,Promotion,JYqZoLtAM2,1,historic
emp100180,Manager/ Senior Specialist,France,R&D,2018-09-22,2023-02-10,4.39,Leaver,2018-11-12,Department Change,yjgBYGWxEr,2,active
emp100181,Specialist,Germany,Consulting,2018-03-11,2021-02-18,2.94,Leaver,2020-05-21,Promotion,XibewlcK9Y,1,historic
emp100181,Specialist,Germany,Consulting,2018-03-11,2021-02-18,2.94,Leaver,2020-09-15,Promotion,KFDWMsmMcw,2,active
emp100182,Leadership,Germany,R&D,2019-11-08,2024-06-04,4.57,Leaver,2021-02-15,Promotion,by7A9ha3aR,1,historic
emp100182,Leadership,Germany,R&D,2019-11-08,2024-06-04,4.57,Leaver,2021-07-09,Promotion,NCfiwuTg3G,2,active
emp100185,Specialist,Germany,Customer Service,2022-01-26,2024-11-20,2.82,Leaver,2023-10-03,Promotion,HkvBX7ctHg,1,active
emp100186,Entry Level,Germany,Sales,2018-09-05,2020-07-05,1.83,Leaver,2019-06-26,Promotion,vxytjxoB7L,1,active
emp100187,Specialist,Netherlands,Sales,2022-04-13,2025-03-30,2.96,Leaver,2023-06-11,Promotion,zD566WHJY2,1,historic
emp100187,Specialist,Netherlands,Sales,2022-04-13,2025-03-30,2.96,Leaver,2023-08-12,Salary Increase,8Wl7Is35qA,2,active
emp100189,Entry Level,Germany,Customer Service,2018-05-25,2020-10-16,2.39,Leaver,2019-06-16,Promotion,8FWEiQoNBG,1,active
emp100190,Manager/ Senior Specialist,Netherlands,Sales,2022-02-09,NA,4.3,Current,2022-10-25,Salary Increase,He6tbGJamx,1,historic
emp100190,Manager/ Senior Specialist,Netherlands,Sales,2022-02-09,NA,4.3,Current,2023-06-01,Promotion,tojbo0R3a8,2,historic
emp100190,Manager/ Senior Specialist,Netherlands,Sales,2022-02-09,NA,4.3,Current,2023-06-17,Promotion,dFxA1w0tXO,3,active
